Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.54,0.54,0.54,0.54,0.99
2,0.38,0.38,0.38,0.51,0.96
3,0.24,0.36,0.36,0.49,0.96
4,0.20,0.35,0.30,0.42,0.96
5,0.16,0.29,0.29,0.29,0.96
6,0.13,0.24,0.24,0.24,0.76
7,0.10,0.13,0.22,0.20,0.70
8,0.07,0.11,0.16,0.15,0.70
9,0.06,0.08,0.14,0.13,0.69
10,0.04,0.05,0.14,0.12,0.69
11,0.04,0.03,0.10,0.12,0.68
12,0.02,0.03,0.10,0.05,0.68
13,0.02,0.03,0.10,0.05,0.62
14,0.01,0.03,0.09,0.03,0.55
15,0.01,0.01,0.02,0.01,0.47
16,0.01,0.01,0.02,0.01,0.40
17,0.00,0.01,0.02,0.01,0.40
18,0.00,0.01,0.02,0.01,0.40
19,0.00,0.01,0.02,0.00,0.40
20,0.00,0.00,0.02,0.00,0.39
21,0.00,0.00,0.02,0.00,0.39
22,0.00,0.00,0.02,0.00,0.39
23,0.00,0.00,0.02,0.00,0.38
24,0.00,0.00,0.02,0.00,0.36
25,0.00,0.00,0.01,0.00,0.36
26,0.00,0.00,0.01,0.00,0.36
27,0.00,0.00,0.01,0.00,0.36
28,0.00,0.00,0.01,0.00,0.34
29,0.00,0.00,0.01,0.00,0.34
30,0.00,0.00,0.01,0.00,0.34
31,0.00,0.00,0.01,0.00,0.33
32,0.00,0.00,0.01,0.00,0.32
33,0.00,0.00,0.01,0.00,0.25
34,0.00,0.00,0.01,0.00,0.25
35,0.00,0.00,0.01,0.00,0.25
36,0.00,0.00,0.01,0.00,0.24
37,0.00,0.00,0.01,0.00,0.24
38,0.00,0.00,0.01,0.00,0.24
39,0.00,0.00,0.01,0.00,0.24
40,0.00,0.00,0.01,0.00,0.22
41,0.00,0.00,0.01,0.00,0.22
42,0.00,0.00,0.01,0.00,0.21
43,0.00,0.00,0.01,0.00,0.21
44,0.00,0.00,0.01,0.00,0.21
45,0.00,0.00,0.01,0.00,0.20
46,0.00,0.00,0.01,0.00,0.20
47,0.00,0.00,0.00,0.00,0.19
48,0.00,0.00,0.00,0.00,0.19
49,0.00,0.00,0.00,0.00,0.18
50,0.00,0.00,0.00,0.00,0.17
51,0.00,0.00,0.00,0.00,0.17
52,0.00,0.00,0.00,0.00,0.17
53,0.00,0.00,0.00,0.00,0.17
54,0.00,0.00,0.00,0.00,0.17
55,0.00,0.00,0.00,0.00,0.17
56,0.00,0.00,0.00,0.00,0.17
57,0.00,0.00,0.00,0.00,0.15
58,0.00,0.00,0.00,0.00,0.15
59,0.00,0.00,0.00,0.00,0.15
60,0.00,0.00,0.00,0.00,0.13
61,0.00,0.00,0.00,0.00,0.02
62,0.00,0.00,0.00,0.00,0.02
63,0.00,0.00,0.00,0.00,0.02
64,0.00,0.00,0.00,0.00,0.02
65,0.00,0.00,0.00,0.00,0.02
66,0.00,0.00,0.00,0.00,0.02
67,0.00,0.00,0.00,0.00,0.00
68,0.00,0.00,0.00,0.00,0.00
69,0.00,0.00,0.00,0.00,0.00
70,0.00,0.00,0.00,0.00,0.00
71,0.00,0.00,0.00,0.00,0.00
72,0.00,0.00,0.00,0.00,0.00
73,0.00,0.00,0.00,0.00,0.00
