Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.43,0.43,0.43,0.43,0.99
2,0.29,0.29,0.29,0.41,0.97
3,0.18,0.27,0.27,0.35,0.97
4,0.14,0.22,0.22,0.29,0.97
5,0.11,0.18,0.18,0.18,0.78
6,0.09,0.16,0.16,0.14,0.73
7,0.08,0.08,0.12,0.14,0.73
8,0.06,0.05,0.06,0.14,0.71
9,0.05,0.05,0.06,0.10,0.70
10,0.03,0.05,0.03,0.08,0.70
11,0.01,0.04,0.02,0.07,0.64
12,0.01,0.03,0.02,0.06,0.57
13,0.01,0.02,0.01,0.06,0.49
14,0.01,0.01,0.01,0.06,0.42
15,0.01,0.00,0.01,0.05,0.42
16,0.01,0.00,0.01,0.05,0.42
17,0.01,0.00,0.01,0.05,0.42
18,0.00,0.00,0.01,0.05,0.41
19,0.00,0.00,0.00,0.04,0.41
20,0.00,0.00,0.00,0.03,0.41
21,0.00,0.00,0.00,0.03,0.40
22,0.00,0.00,0.00,0.03,0.39
23,0.00,0.00,0.00,0.03,0.39
24,0.00,0.00,0.00,0.03,0.39
25,0.00,0.00,0.00,0.03,0.39
26,0.00,0.00,0.00,0.03,0.39
27,0.00,0.00,0.00,0.03,0.38
28,0.00,0.00,0.00,0.03,0.38
29,0.00,0.00,0.00,0.03,0.37
30,0.00,0.00,0.00,0.03,0.36
31,0.00,0.00,0.00,0.03,0.29
32,0.00,0.00,0.00,0.03,0.29
33,0.00,0.00,0.00,0.03,0.29
34,0.00,0.00,0.00,0.03,0.29
35,0.00,0.00,0.00,0.03,0.29
36,0.00,0.00,0.00,0.03,0.26
37,0.00,0.00,0.00,0.03,0.26
38,0.00,0.00,0.00,0.03,0.25
39,0.00,0.00,0.00,0.03,0.25
40,0.00,0.00,0.00,0.03,0.25
41,0.00,0.00,0.00,0.03,0.25
42,0.00,0.00,0.00,0.02,0.23
43,0.00,0.00,0.00,0.02,0.23
44,0.00,0.00,0.00,0.02,0.22
45,0.00,0.00,0.00,0.02,0.22
46,0.00,0.00,0.00,0.02,0.21
47,0.00,0.00,0.00,0.02,0.21
48,0.00,0.00,0.00,0.02,0.21
49,0.00,0.00,0.00,0.02,0.20
50,0.00,0.00,0.00,0.02,0.20
51,0.00,0.00,0.00,0.02,0.20
52,0.00,0.00,0.00,0.02,0.20
53,0.00,0.00,0.00,0.02,0.20
54,0.00,0.00,0.00,0.02,0.17
55,0.00,0.00,0.00,0.02,0.01
56,0.00,0.00,0.00,0.02,0.01
57,0.00,0.00,0.00,0.02,0.01
58,0.00,0.00,0.00,0.02,0.01
59,0.00,0.00,0.00,0.00,0.01
60,0.00,0.00,0.00,0.00,0.00
61,0.00,0.00,0.00,0.00,0.00
62,0.00,0.00,0.00,0.00,0.00
63,0.00,0.00,0.00,0.00,0.00
64,0.00,0.00,0.00,0.00,0.00
65,0.00,0.00,0.00,0.00,0.00
66,0.00,0.00,0.00,0.00,0.00
