Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.41,0.41,0.41,0.41,1.00
2,0.24,0.36,0.29,0.36,0.98
3,0.16,0.33,0.26,0.33,0.82
4,0.13,0.18,0.20,0.32,0.76
5,0.10,0.11,0.18,0.29,0.76
6,0.08,0.10,0.08,0.29,0.74
7,0.07,0.08,0.06,0.27,0.74
8,0.04,0.05,0.06,0.26,0.68
9,0.02,0.04,0.06,0.26,0.61
10,0.02,0.02,0.05,0.25,0.53
11,0.01,0.01,0.05,0.25,0.46
12,0.01,0.01,0.04,0.24,0.45
13,0.00,0.01,0.04,0.24,0.45
14,0.00,0.00,0.04,0.24,0.44
15,0.00,0.00,0.02,0.23,0.44
16,0.00,0.00,0.01,0.23,0.42
17,0.00,0.00,0.01,0.23,0.42
18,0.00,0.00,0.01,0.23,0.41
19,0.00,0.00,0.01,0.23,0.40
20,0.00,0.00,0.01,0.23,0.39
21,0.00,0.00,0.01,0.23,0.38
22,0.00,0.00,0.01,0.23,0.32
23,0.00,0.00,0.00,0.23,0.32
24,0.00,0.00,0.00,0.23,0.32
25,0.00,0.00,0.00,0.23,0.32
26,0.00,0.00,0.00,0.23,0.30
27,0.00,0.00,0.00,0.23,0.29
28,0.00,0.00,0.00,0.22,0.29
29,0.00,0.00,0.00,0.20,0.27
30,0.00,0.00,0.00,0.19,0.26
31,0.00,0.00,0.00,0.19,0.26
32,0.00,0.00,0.00,0.19,0.25
33,0.00,0.00,0.00,0.19,0.24
34,0.00,0.00,0.00,0.19,0.24
35,0.00,0.00,0.00,0.19,0.24
36,0.00,0.00,0.00,0.19,0.24
37,0.00,0.00,0.00,0.19,0.24
38,0.00,0.00,0.00,0.19,0.23
39,0.00,0.00,0.00,0.09,0.21
40,0.00,0.00,0.00,0.04,0.01
41,0.00,0.00,0.00,0.03,0.01
42,0.00,0.00,0.00,0.01,0.00
43,0.00,0.00,0.00,0.00,0.00
44,0.00,0.00,0.00,0.00,0.00
45,0.00,0.00,0.00,0.00,0.00
46,0.00,0.00,0.00,0.00,0.00
47,0.00,0.00,0.00,0.00,0.00
48,0.00,0.00,0.00,0.00,0.00
