Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.49,0.49,0.49,0.49,0.98
2,0.28,0.43,0.43,0.43,0.81
3,0.19,0.22,0.31,0.22,0.76
4,0.15,0.19,0.25,0.19,0.75
5,0.10,0.12,0.21,0.12,0.72
6,0.08,0.12,0.08,0.12,0.65
7,0.05,0.07,0.05,0.07,0.59
8,0.03,0.06,0.04,0.06,0.53
9,0.03,0.03,0.03,0.03,0.46
10,0.01,0.02,0.03,0.02,0.46
11,0.01,0.01,0.02,0.01,0.45
12,0.01,0.01,0.01,0.01,0.44
13,0.00,0.00,0.01,0.00,0.44
14,0.00,0.00,0.00,0.00,0.42
15,0.00,0.00,0.00,0.00,0.41
16,0.00,0.00,0.00,0.00,0.39
17,0.00,0.00,0.00,0.00,0.38
18,0.00,0.00,0.00,0.00,0.32
19,0.00,0.00,0.00,0.00,0.31
20,0.00,0.00,0.00,0.00,0.31
21,0.00,0.00,0.00,0.00,0.29
22,0.00,0.00,0.00,0.00,0.28
23,0.00,0.00,0.00,0.00,0.28
24,0.00,0.00,0.00,0.00,0.27
25,0.00,0.00,0.00,0.00,0.24
26,0.00,0.00,0.00,0.00,0.24
27,0.00,0.00,0.00,0.00,0.24
28,0.00,0.00,0.00,0.00,0.23
29,0.00,0.00,0.00,0.00,0.22
30,0.00,0.00,0.00,0.00,0.22
31,0.00,0.00,0.00,0.00,0.22
32,0.00,0.00,0.00,0.00,0.21
33,0.00,0.00,0.00,0.00,0.20
34,0.00,0.00,0.00,0.00,0.19
35,0.00,0.00,0.00,0.00,0.00
36,0.00,0.00,0.00,0.00,0.00
37,0.00,0.00,0.00,0.00,0.00
38,0.00,0.00,0.00,0.00,0.00
39,0.00,0.00,0.00,0.00,0.00
40,0.00,0.00,0.00,0.00,0.00
41,0.00,0.00,0.00,0.00,0.00
