Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.32,0.32,0.32,0.32,0.99
2,0.11,0.11,0.11,0.11,0.98
3,0.07,0.07,0.07,0.07,0.40
4,0.05,0.05,0.05,0.05,0.39
5,0.03,0.03,0.05,0.03,0.39
6,0.01,0.01,0.05,0.01,0.30
7,0.01,0.01,0.05,0.01,0.08
8,0.01,0.01,0.05,0.01,0.05
9,0.00,0.01,0.03,0.00,0.05
10,0.00,0.01,0.03,0.00,0.03
11,0.00,0.01,0.02,0.00,0.02
12,0.00,0.01,0.01,0.00,0.01
13,0.00,0.01,0.01,0.00,0.00
14,0.00,0.01,0.00,0.00,0.00
15,0.00,0.00,0.00,0.00,0.00
16,0.00,0.00,0.00,0.00,0.00
17,0.00,0.00,0.00,0.00,0.00
18,0.00,0.00,0.00,0.00,0.00
