Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.40,0.40,0.40,0.40,1.00
2,0.28,0.28,0.28,0.28,0.97
3,0.17,0.26,0.26,0.26,0.81
4,0.13,0.24,0.20,0.24,0.76
5,0.10,0.14,0.19,0.14,0.76
6,0.09,0.12,0.10,0.10,0.76
7,0.07,0.08,0.07,0.08,0.75
8,0.05,0.06,0.06,0.08,0.74
9,0.05,0.06,0.05,0.06,0.68
10,0.02,0.05,0.05,0.06,0.60
11,0.02,0.04,0.04,0.05,0.51
12,0.02,0.04,0.04,0.03,0.45
13,0.01,0.02,0.04,0.03,0.45
14,0.01,0.01,0.04,0.02,0.45
15,0.01,0.01,0.04,0.02,0.45
16,0.01,0.01,0.02,0.02,0.44
17,0.01,0.00,0.01,0.02,0.44
18,0.01,0.00,0.01,0.02,0.43
19,0.01,0.00,0.01,0.02,0.42
20,0.00,0.00,0.01,0.01,0.42
21,0.00,0.00,0.01,0.01,0.42
22,0.00,0.00,0.01,0.01,0.42
23,0.00,0.00,0.01,0.01,0.41
24,0.00,0.00,0.01,0.01,0.41
25,0.00,0.00,0.01,0.01,0.39
26,0.00,0.00,0.01,0.01,0.39
27,0.00,0.00,0.01,0.01,0.32
28,0.00,0.00,0.01,0.01,0.32
29,0.00,0.00,0.01,0.01,0.32
30,0.00,0.00,0.00,0.01,0.32
31,0.00,0.00,0.00,0.01,0.31
32,0.00,0.00,0.00,0.01,0.31
33,0.00,0.00,0.00,0.01,0.29
34,0.00,0.00,0.00,0.01,0.29
35,0.00,0.00,0.00,0.01,0.29
36,0.00,0.00,0.00,0.01,0.28
37,0.00,0.00,0.00,0.01,0.28
38,0.00,0.00,0.00,0.01,0.26
39,0.00,0.00,0.00,0.01,0.26
40,0.00,0.00,0.00,0.01,0.25
41,0.00,0.00,0.00,0.01,0.24
42,0.00,0.00,0.00,0.01,0.24
43,0.00,0.00,0.00,0.01,0.24
44,0.00,0.00,0.00,0.01,0.24
45,0.00,0.00,0.00,0.01,0.23
46,0.00,0.00,0.00,0.01,0.23
47,0.00,0.00,0.00,0.01,0.23
48,0.00,0.00,0.00,0.01,0.23
49,0.00,0.00,0.00,0.01,0.23
50,0.00,0.00,0.00,0.01,0.22
51,0.00,0.00,0.00,0.01,0.20
52,0.00,0.00,0.00,0.01,0.01
53,0.00,0.00,0.00,0.01,0.01
54,0.00,0.00,0.00,0.01,0.01
55,0.00,0.00,0.00,0.01,0.01
56,0.00,0.00,0.00,0.01,0.01
57,0.00,0.00,0.00,0.01,0.01
58,0.00,0.00,0.00,0.01,0.00
59,0.00,0.00,0.00,0.01,0.00
60,0.00,0.00,0.00,0.01,0.00
61,0.00,0.00,0.00,0.00,0.00
62,0.00,0.00,0.00,0.00,0.00
63,0.00,0.00,0.00,0.00,0.00
