id;Cod-orig;Munic-origem;Cod-Dest;Munic-destino;Pax
7657210;3550308;SÃO PAULO;4106902;CURITIBA;470244
6854865;3550308;SÃO PAULO;3304557;RIO DE JANEIRO;2520788
7635008;4106902;CURITIBA;3509502;CAMPINAS;30226
7050809;4106902;CURITIBA;2925303;PORTO SEGURO;31140
8330913;4106902;CURITIBA;4205407;FLORIANÓPOLIS;32679
9425614;4106902;CURITIBA;5300108;BRASÍLIA;46017
7430063;4106902;CURITIBA;3304557;RIO DE JANEIRO;134639
7675814;4106902;CURITIBA;3550308;SÃO PAULO;282068
8233810;4108304;FOZ DO IGUAÇU;4106902;CURITIBA;70989
7412861;4108304;FOZ DO IGUAÇU;3304557;RIO DE JANEIRO;83633
7658612;4108304;FOZ DO IGUAÇU;3550308;SÃO PAULO;217330
8239206;4113700;LONDRINA;4106902;CURITIBA;30490
7664008;4113700;LONDRINA;3550308;SÃO PAULO;120174
7509964;4205407;FLORIANÓPOLIS;3304557;RIO DE JANEIRO;37798
8520309;4205407;FLORIANÓPOLIS;4314902;PORTO ALEGRE;73583
7759410;4209102;JOINVILLE;3550308;SÃO PAULO;110634
7855416;4305108;CAXIAS DO SUL;3550308;SÃO PAULO;31143
9615010;4314902;PORTO ALEGRE;5300108;BRASÍLIA;54638
8440408;4314902;PORTO ALEGRE;4106902;CURITIBA;106247
7619459;4314902;PORTO ALEGRE;3304557;RIO DE JANEIRO;244803
7833702;4314902;PORTO ALEGRE;3550308;SÃO PAULO;788116
4912913;5002704;CAMPO GRANDE;5103403;CUIABÁ;22519
8553012;5002704;CAMPO GRANDE;3550308;SÃO PAULO;41809
7511515;5103403;CUIABÁ;5300108;BRASÍLIA;52006
5761715;5103403;CUIABÁ;3550308;SÃO PAULO;171830
8100416;5300108;BRASÍLIA;2800308;ARACAJU;20072
7911714;5300108;BRASÍLIA;2611606;RECIFE;58756
7511109;5300108;BRASÍLIA;2211001;TERESINA;65138
7411408;5300108;BRASÍLIA;2111300;SÃO LUÍS;67033
10508815;5300108;BRASÍLIA;5208707;GOIÂNIA;95637
8227516;5300108;BRASÍLIA;2927408;SALVADOR;149638
8417984;5300108;BRASÍLIA;3106200;BELO HORIZONTE;153392
6602711;5300108;BRASÍLIA;1302603;MANAUS;156756
8850416;5300108;BRASÍLIA;3550308;SÃO PAULO;745786
