id;Cod-orig;Munic-origem;Cod-Dest;Munic-destino;Pax
6208607;1100205;PORTO VELHO;5103403;CUIABÁ;24427
6400313;1100205;PORTO VELHO;5300108;BRASÍLIA;25554
2402808;1100205;PORTO VELHO;1302603;MANAUS;95859
5307204;1200401;RIO BRANCO;1200203;CRUZEIRO DO SUL;21175
2503103;1302603;MANAUS;1200401;RIO BRANCO;27252
3413903;1302603;MANAUS;2111300;SÃO LUÍS;28264
3607003;1302603;MANAUS;2304400;FORTALEZA;87506
2606665;1304062;TABATINGA;1302603;MANAUS;20383
2702703;1400100;BOA VISTA;1302603;MANAUS;126039
5051710;1501402;BELÉM;3550308;SÃO PAULO;50063
3008209;1501402;BELÉM;1506807;SANTARÉM;84839
4805959;1501402;BELÉM;3304557;RIO DE JANEIRO;95756
6801510;1501402;BELÉM;5300108;BRASÍLIA;112910
3101705;1501402;BELÉM;1600303;MACAPÁ;181839
2804005;1501402;BELÉM;1302603;MANAUS;184377
2809410;1506807;SANTARÉM;1302603;MANAUS;49078
4415700;2111300;SÃO LUÍS;2304400;FORTALEZA;46253
3612702;2111300;SÃO LUÍS;1501402;BELÉM;48084
4515401;2211001;TERESINA;2304400;FORTALEZA;50893
7511109;2211001;TERESINA;5300108;BRASÍLIA;54375
5231808;2304400;FORTALEZA;2927408;SALVADOR;31917
3805802;2304400;FORTALEZA;1501402;BELÉM;55906
5854708;2304400;FORTALEZA;3550308;SÃO PAULO;159024
4915933;2304400;FORTALEZA;2611606;RECIFE;181560
5953559;2408102;NATAL;3550308;SÃO PAULO;60068
5707808;2408102;NATAL;3304557;RIO DE JANEIRO;68555
4707651;2408102;NATAL;2304400;FORTALEZA;102635
5806364;2507507;JOÃO PESSOA;3304557;RIO DE JANEIRO;21820
4112935;2611606;RECIFE;1501402;BELÉM;26899
3914136;2611606;RECIFE;1302603;MANAUS;29456
5113340;2611606;RECIFE;2507507;JOÃO PESSOA;48436
7911641;2611606;RECIFE;5300108;BRASÍLIA;87341
5014784;2611606;RECIFE;2408102;NATAL;106103
5538941;2611606;RECIFE;2927408;SALVADOR;199267
6161841;2611606;RECIFE;3550308;SÃO PAULO;279341
6012258;2704302;MACEIÓ;3304557;RIO DE JANEIRO;81870
5635109;2704302;MACEIÓ;2927408;SALVADOR;97588
5319234;2704302;MACEIÓ;2611606;RECIFE;105001
5411841;2800308;ARACAJU;2611606;RECIFE;38081
6463914;2913606;ILHÉUS;3550308;SÃO PAULO;50041
5841014;2913606;ILHÉUS;2927408;SALVADOR;82185
6132717;2927408;SALVADOR;3205309;VITÓRIA;22622
5727716;2927408;SALVADOR;2800308;ARACAJU;90405
6045284;2927408;SALVADOR;3106200;BELO HORIZONTE;94642
8227516;2927408;SALVADOR;5300108;BRASÍLIA;141407
8326583;3106200;BELO HORIZONTE;5208707;GOIÂNIA;28318
8417984;3106200;BELO HORIZONTE;5300108;BRASÍLIA;221965
6720514;3170206;UBERLÂNDIA;3550308;SÃO PAULO;22156
6323185;3205309;VITÓRIA;3106200;BELO HORIZONTE;63991
6755617;3205309;VITÓRIA;3550308;SÃO PAULO;124720
6509866;3205309;VITÓRIA;3304557;RIO DE JANEIRO;191706
6218163;3304557;RIO DE JANEIRO;2913606;ILHÉUS;20229
8412959;3304557;RIO DE JANEIRO;5103403;CUIABÁ;29792
5415857;3304557;RIO DE JANEIRO;2111300;SÃO LUÍS;43523
6104865;3304557;RIO DE JANEIRO;2800308;ARACAJU;46916
7509964;3304557;RIO DE JANEIRO;4205407;FLORIANÓPOLIS;47733
4607160;3304557;RIO DE JANEIRO;1302603;MANAUS;89193
5608957;3304557;RIO DE JANEIRO;2304400;FORTALEZA;119303
7412861;3304557;RIO DE JANEIRO;4108304;FOZ DO IGUAÇU;143741
7430063;3304557;RIO DE JANEIRO;4106902;CURITIBA;154545
5916090;3304557;RIO DE JANEIRO;2611606;RECIFE;245397
7619459;3304557;RIO DE JANEIRO;4314902;PORTO ALEGRE;298167
6422433;3304557;RIO DE JANEIRO;3106200;BELO HORIZONTE;339104
6231965;3304557;RIO DE JANEIRO;2927408;SALVADOR;350798
6814059;3509502;CAMPINAS;3304557;RIO DE JANEIRO;45934
7093710;3550308;SÃO PAULO;3543402;RIBEIRÃO PRETO;20024
7056311;3550308;SÃO PAULO;3506003;BAURU;20527
4650513;3550308;SÃO PAULO;1100205;PORTO VELHO;20610
7053112;3550308;SÃO PAULO;3502804;ARACATUBA;20880
7855416;3550308;SÃO PAULO;4305108;CAXIAS DO SUL;22937
6350616;3550308;SÃO PAULO;2800308;ARACAJU;35099
6656508;3550308;SÃO PAULO;3106200;BELO HORIZONTE;44807
6258009;3550308;SÃO PAULO;2704302;MACEIÓ;96393
4852911;3550308;SÃO PAULO;1302603;MANAUS;153806
7755715;3550308;SÃO PAULO;4205407;FLORIANÓPOLIS;172033
7658612;3550308;SÃO PAULO;4108304;FOZ DO IGUAÇU;242286
6477716;3550308;SÃO PAULO;2927408;SALVADOR;388708
6668184;3550308;SÃO PAULO;3106200;BELO HORIZONTE;395247
8850416;3550308;SÃO PAULO;5300108;BRASÍLIA;582895
6854865;3550308;SÃO PAULO;3304557;RIO DE JANEIRO;2560512
7675814;4106902;CURITIBA;3550308;SÃO PAULO;477738
8233810;4108304;FOZ DO IGUAÇU;4106902;CURITIBA;77449
7664008;4113700;LONDRINA;3550308;SÃO PAULO;58249
8330913;4205407;FLORIANÓPOLIS;4106902;CURITIBA;22090
7759410;4209102;JOINVILLE;3550308;SÃO PAULO;45728
7761614;4211306;NAVEGANTES;3550308;SÃO PAULO;114945
9615010;4314902;PORTO ALEGRE;5300108;BRASÍLIA;36848
8520309;4314902;PORTO ALEGRE;4205407;FLORIANÓPOLIS;71161
8440408;4314902;PORTO ALEGRE;4106902;CURITIBA;90763
7865210;4314902;PORTO ALEGRE;3550308;SÃO PAULO;661776
8553012;5002704;CAMPO GRANDE;3550308;SÃO PAULO;148092
8553515;5003207;CORUMBÁ;3550308;SÃO PAULO;26211
10111106;5103403;CUIABÁ;5002704;CAMPO GRANDE;30305
10317109;5103403;CUIABÁ;5208707;GOIÂNIA;31111
8658710;5103403;CUIABÁ;3550308;SÃO PAULO;128838
8513264;5208707;GOIÂNIA;3304557;RIO DE JANEIRO;29118
8759015;5208707;GOIÂNIA;3550308;SÃO PAULO;170043
9425614;5300108;BRASÍLIA;4106902;CURITIBA;27568
7411408;5300108;BRASÍLIA;2111300;SÃO LUÍS;53589
10408510;5300108;BRASÍLIA;5103403;CUIABÁ;59690
10508815;5300108;BRASÍLIA;5208707;GOIÂNIA;99625
7604508;5300108;BRASÍLIA;2304400;FORTALEZA;119484
6602711;5300108;BRASÍLIA;1302603;MANAUS;199194
8604665;5300108;BRASÍLIA;3304557;RIO DE JANEIRO;619777
