id;Cod-orig;Munic-origem;Cod-Dest;Munic-destino;Pax
9615010;5300108;BRASÍLIA;4314902;PORTO ALEGRE;20284
5854708;2304400;FORTALEZA;3550308;SÃO PAULO;20491
5315908;2704302;MACEIÓ;2611606;RECIFE;21103
7911714;5300108;BRASÍLIA;2611606;RECIFE;22192
3805802;1501402;BELÉM;2304400;FORTALEZA;22713
8520309;4205407;FLORIANÓPOLIS;4314902;PORTO ALEGRE;23826
6801510;1501402;BELÉM;5300108;BRASÍLIA;26183
4852911;1302603;MANAUS;3550308;SÃO PAULO;28779
2402808;1302603;MANAUS;1100205;PORTO VELHO;29760
8653711;5103403;CUIABÁ;3550308;SÃO PAULO;29888
2702703;1400100;BOA VISTA;1302603;MANAUS;33535
7755715;4205407;FLORIANÓPOLIS;3550308;SÃO PAULO;36815
5608957;2304400;FORTALEZA;3304557;RIO DE JANEIRO;39429
8759015;5208707;GOIÂNIA;3550308;SÃO PAULO;44336
7411459;4106902;CURITIBA;3304557;RIO DE JANEIRO;44380
8421804;4106902;CURITIBA;4314902;PORTO ALEGRE;49321
10508815;5300108;BRASÍLIA;5208707;GOIÂNIA;49645
3101705;1501402;BELÉM;1600303;MACAPÁ;50065
4916006;2304400;FORTALEZA;2611606;RECIFE;53093
4607160;3304557;RIO DE JANEIRO;1302603;MANAUS;59119
6602711;5300108;BRASÍLIA;1302603;MANAUS;62024
8227516;5300108;BRASÍLIA;2927408;SALVADOR;62089
4805959;1501402;BELÉM;3304557;RIO DE JANEIRO;62676
5539014;2611606;RECIFE;2927408;SALVADOR;74669
2804005;1501402;BELÉM;1302603;MANAUS;78821
6161914;2611606;RECIFE;3550308;SÃO PAULO;88195
8406308;3106200;BELO HORIZONTE;5300108;BRASÍLIA;108660
6509866;3304557;RIO DE JANEIRO;3205309;VITÓRIA;109006
5916163;3304557;RIO DE JANEIRO;2611606;RECIFE;112857
6477716;2927408;SALVADOR;3550308;SÃO PAULO;113445
7619459;3304557;RIO DE JANEIRO;4314902;PORTO ALEGRE;129170
6231965;3304557;RIO DE JANEIRO;2927408;SALVADOR;177636
8850416;5300108;BRASÍLIA;3550308;SÃO PAULO;217920
6656508;3106200;BELO HORIZONTE;3550308;SÃO PAULO;230809
7657210;4106902;CURITIBA;3550308;SÃO PAULO;248596
7865210;4314902;PORTO ALEGRE;3550308;SÃO PAULO;311230
6410757;3106200;BELO HORIZONTE;3304557;RIO DE JANEIRO;312479
8604665;5300108;BRASÍLIA;3304557;RIO DE JANEIRO;376621
6854865;3304557;RIO DE JANEIRO;3550308;SÃO PAULO;1226917
