UF;CodUF;Codmundv;Codmun;nomemun;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR11;VAR12;VAR13;VAR14;VAR15;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24
MS;50;5002209;500220;Bonito;2419;640;19587;214122,738;5;Centro Local;;;;;;;;;;;;;;;268;2750;;
MS;50;5002704;500270;Campo Grande;1008430;2363516;786797;11645483,89;2A;Capital Regional A;;;;;;;171908;6316468;229802;1946743;252022;1955008;389947;7386983;639501;10722070;323;04:52:02
MS;50;5003207;500320;Corumbá;24748;49;103703;2715506,82;4A;Centro de Zona A;;;;;;;41593;337094;49945;223065;34156;167069;31401;662386;32890;546986;613;08:53:08
MS;50;5003702;500370;Dourados;27520;12144;196035;3003284,189;2C;Capital Regional C;;;;;;;;;;;1657;47713;744;16155;5163;61659;578;07:29:41
MT;51;5100250;510025;Alta Floresta;29975;5355;49164;579852,165;4A;Centro de Zona A;;;;;;;;;;;7689;17473;3209;49474;10751;166187;483;06:36:13
MT;51;5101407;510140;Aripuanã;2149;281;18656;342075,704;5;Centro Local;;;;;;;;;;;1548;13262;5859;108350;6239;136711;;
MT;51;5103353;510335;Confresa;923;5277;25124;249418,969;4B;Centro de Zona B;;;;;;;;;;;960;5736;;;;;;
MT;51;5103403;510340;Cuiabá;1624820;7531848;551098;9816818,566;2A;Capital Regional A;45356;624295;71452;866011;163922;3028338;269531;5608142;360771;10286884;380726;3668315;501336;11608892;415543;8916004;313;04:18:10
MT;51;5105101;510510;Juara;819;0;32791;638522,337;4B;Centro de Zona B;;;;;;;;;;;4084;25295;7487;123513;7272;119469;;
MT;51;5107602;510760;Rondonópolis;54449;34330;195476;4862344,212;3A;Centro Subregional A;;;;;;;;;;;3945;84828;;;14543;184867;521;06:55:44
MT;51;5107859;510785;São Félix Do Araguaia;2572;8393;10625;166486,006;4A;Centro de Zona A;;;;;;;;;;;3176;11505;1481;14947;5;65;;
GO;52;5208707;520870;Goiânia;1615554;5056305;1302001;21386529,546;1C;Metrópole;48681;451719;99756;538182;197820;804710;223955;1834396;419145;5297656;393868;3962075;803430;16682828;991724;17734502;236;03:03:30
GO;52;5213087;521308;Minaçu;1229;1643;31154;609433,56;5;Centro Local;;;;;;;;;;;4875;19718;3988;30724;;;;
GO;52;5218805;521880;Rio Verde;14856;283;176424;4260318,266;4A;Centro Subregional A;;;;;;;;;;;;;5729;75471;212;1965;;
GO;51;5204508;520450;Caldas Novas;111519;0;70473;790987,154;4A;Centro de Zona A;;;;;;;;;;;12210;464;66833;242522;122047;1450633;;
DF;53;5300108;530010;Brasília;12340576;81252247;2570160;131487267,899;1B;Metrópole Nacional;493034;5286917;1009964;9455609;1655427;18013776;1939977;33912451;2567774;44229377;2860496;54256792;4783032;95459784;7349434;144836769;213;01:58:10
