id;Cod-orig;Munic-origem;Cod-Dest;Munic-destino;Pax
6208607;1100205;PORTO VELHO;5103403;CUIABÁ;20852
4650513;1100205;PORTO VELHO;3550308;SÃO PAULO;21148
6400313;1100205;PORTO VELHO;5300108;BRASÍLIA;73421
2400604;1200203;CRUZEIRO DO SUL;1200401;RIO BRANCO;30151
2503004;1200401;RIO BRANCO;1302603;MANAUS;31702
6500509;1200401;RIO BRANCO;5300108;BRASÍLIA;43827
2603812;1301209;COARI;1302603;MANAUS;31429
2606006;1302603;MANAUS;1303403;PARINTINS;23883
2402808;1302603;MANAUS;1100205;PORTO VELHO;50424
4607160;1302603;MANAUS;3304557;RIO DE JANEIRO;84450
2804005;1302603;MANAUS;1501402;BELÉM;101625
4852911;1302603;MANAUS;3550308;SÃO PAULO;266220
2702703;1400100;BOA VISTA;1302603;MANAUS;49246
3001905;1500503;ALMEIRIM;1501402;BELÉM;26070
4606703;1500503;ALMEIRIM;3106200;BELO HORIZONTE;35343
3005610;1501402;BELÉM;1504208;MARABÁ;37609
3002004;1501402;BELÉM;1500602;ALTAMIRA;40455
4805959;1501402;BELÉM;3304557;RIO DE JANEIRO;41509
3805802;1501402;BELÉM;2304400;FORTALEZA;67390
3008209;1501402;BELÉM;1506807;SANTARÉM;76193
2809410;1506807;SANTARÉM;1302603;MANAUS;26330
3101705;1600303;MACAPÁ;1501402;BELÉM;149614
4216602;2105302;IMPERATRIZ;2111300;SÃO LUÍS;28839
5415857;2111300;SÃO LUÍS;3304557;RIO DE JANEIRO;23896
5661608;2111300;SÃO LUÍS;3550308;SÃO PAULO;31842
3612702;2111300;SÃO LUÍS;1501402;BELÉM;48541
4415700;2111300;SÃO LUÍS;2304400;FORTALEZA;57473
7411408;2111300;SÃO LUÍS;5300108;BRASÍLIA;110221
4322301;2211001;TERESINA;2111300;SÃO LUÍS;24859
7511109;2211001;TERESINA;5300108;BRASÍLIA;114993
5422276;2304400;FORTALEZA;3106200;BELO HORIZONTE;20129
4515401;2304400;FORTALEZA;2211001;TERESINA;57300
3607003;2304400;FORTALEZA;1302603;MANAUS;62321
5608957;2304400;FORTALEZA;3304557;RIO DE JANEIRO;131560
4705705;2304400;FORTALEZA;2408102;NATAL;134855
4916006;2304400;FORTALEZA;2611606;RECIFE;214856
7604508;2304400;FORTALEZA;5300108;BRASÍLIA;217520
5854708;2304400;FORTALEZA;3550308;SÃO PAULO;435526
4611704;2307304;JUAZEIRO DO NORTE;2304400;FORTALEZA;22785
5105607;2408102;NATAL;2704302;MACEIÓ;23407
7701413;2408102;NATAL;5300108;BRASÍLIA;84148
5429215;2507507;JOÃO PESSOA;2927408;SALVADOR;27932
7801915;2507507;JOÃO PESSOA;5300108;BRASÍLIA;82118
5113413;2507507;JOÃO PESSOA;2611606;RECIFE;87129
5006764;2605459;FERNANDO DE NORONHA;2408102;NATAL;44612
5217065;2605459;FERNANDO DE NORONHA;2611606;RECIFE;56624
7911209;2611101;PETROLINA;5300108;BRASÍLIA;21229
4113008;2611606;RECIFE;1501402;BELÉM;22194
6155008;2611606;RECIFE;3543402;RIBEIRÃO PRETO;27333
4722906;2611606;RECIFE;2111300;SÃO LUÍS;28202
5222707;2611606;RECIFE;2611101;PETROLINA;30432
5315908;2611606;RECIFE;2704302;MACEIÓ;124056
5012911;2611606;RECIFE;2408102;NATAL;132864
8004410;2704302;MACEIÓ;5300108;BRASÍLIA;31280
6350616;2800308;ARACAJU;3550308;SÃO PAULO;27787
5504610;2800308;ARACAJU;2704302;MACEIÓ;28769
6104865;2800308;ARACAJU;3304557;RIO DE JANEIRO;32702
5411914;2800308;ARACAJU;2611606;RECIFE;43326
5727716;2800308;ARACAJU;2927408;SALVADOR;137129
6463914;2913606;ILHÉUS;3550308;SÃO PAULO;77860
5841014;2913606;ILHÉUS;2927408;SALVADOR;90757
6468705;2925303;PORTO SEGURO;3543402;RIBEIRÃO PRETO;26303
6434805;2925303;PORTO SEGURO;3509502;CAMPINAS;27361
6043179;2925303;PORTO SEGURO;3106200;BELO HORIZONTE;34128
5852711;2925303;PORTO SEGURO;2927408;SALVADOR;75919
6436910;2927408;SALVADOR;3509502;CAMPINAS;20038
5860715;2927408;SALVADOR;2933307;VITÓRIA DA CONQUISTA;24735
6132717;2927408;SALVADOR;3205309;VITÓRIA;49520
5328713;2927408;SALVADOR;2408102;NATAL;70238
5231808;2927408;SALVADOR;2304400;FORTALEZA;75201
6045284;2927408;SALVADOR;3106200;BELO HORIZONTE;104579
5631710;2927408;SALVADOR;2704302;MACEIÓ;133836
5539014;2927408;SALVADOR;2611606;RECIFE;249152
6231965;2927408;SALVADOR;3304557;RIO DE JANEIRO;469468
6482815;2932507;UNA;3550308;SÃO PAULO;28668
6323185;3106200;BELO HORIZONTE;3205309;VITÓRIA;27281
6031503;3106200;BELO HORIZONTE;2925303;PORTO SEGURO;39446
6276406;3106200;BELO HORIZONTE;3170206;UBERLÂNDIA;48962
6265153;3106200;BELO HORIZONTE;3158953;SANTANA DO PARAÍSO;49561
6410757;3106200;BELO HORIZONTE;3304557;RIO DE JANEIRO;506588
6720415;3170107;UBERABA;3550308;SÃO PAULO;33007
8378913;3170206;UBERLÂNDIA;5208707;GOIÂNIA;49850
8505417;3205309;VITÓRIA;5300108;BRASÍLIA;23143
6311509;3205309;VITÓRIA;3106200;BELO HORIZONTE;106710
6755617;3205309;VITÓRIA;3550308;SÃO PAULO;346655
6605566;3301009;CAMPOS DOS GOYTACAZES;3304557;RIO DE JANEIRO;21244
6854461;3304557;RIO DE JANEIRO;3549904;SÃO JOSÉ DOS CAMPOS;28552
6229860;3304557;RIO DE JANEIRO;2925303;PORTO SEGURO;33184
6008859;3304557;RIO DE JANEIRO;2704302;MACEIÓ;40663
5705862;3304557;RIO DE JANEIRO;2408102;NATAL;78890
7430063;3304557;RIO DE JANEIRO;4106902;CURITIBA;159563
6814059;3304557;RIO DE JANEIRO;3509502;CAMPINAS;224280
5916163;3304557;RIO DE JANEIRO;2611606;RECIFE;246237
6509866;3304557;RIO DE JANEIRO;3205309;VITÓRIA;323372
6854865;3304557;RIO DE JANEIRO;3550308;SÃO PAULO;4082980
8809610;3509502;CAMPINAS;5300108;BRASÍLIA;33784
5813902;3509502;CAMPINAS;2304400;FORTALEZA;38335
7635008;3509502;CAMPINAS;4106902;CURITIBA;71468
7824404;3509502;CAMPINAS;4314902;PORTO ALEGRE;73515
6615702;3509502;CAMPINAS;3106200;BELO HORIZONTE;81499
7059810;3509502;CAMPINAS;3550308;SÃO PAULO;114952
7093710;3543402;RIBEIRÃO PRETO;3550308;SÃO PAULO;270953
7100212;3550308;SÃO PAULO;3549904;SÃO JOSÉ DOS CAMPOS;22867
7655116;3550308;SÃO PAULO;4104808;CASCAVEL;23544
6709261;3550308;SÃO PAULO;3158953;SANTANA DO PARAÍSO;26502
7754916;3550308;SÃO PAULO;4204608;CRICIÚMA;38099
6687010;3550308;SÃO PAULO;3136702;JUIZ DE FORA;42286
6052115;3550308;SÃO PAULO;2507507;JOÃO PESSOA;49915
7053112;3550308;SÃO PAULO;3502804;ARAÇATUBA;51001
8754816;3550308;SÃO PAULO;5204508;CALDAS NOVAS;51370
7754510;3550308;SÃO PAULO;4204202;CHAPECÓ;51609
7665508;3550308;SÃO PAULO;4115200;MARINGÁ;78503
7056311;3550308;SÃO PAULO;3506003;BAURU;86045
5051710;3550308;SÃO PAULO;1501402;BELÉM;121253
6254610;3550308;SÃO PAULO;2704302;MACEIÓ;133102
7100113;3550308;SÃO PAULO;3549805;SÃO JOSÉ DO RIO PRETO;136501
5951613;3550308;SÃO PAULO;2408102;NATAL;144506
8658710;3550308;SÃO PAULO;5103403;CUIABÁ;181940
6720514;3550308;SÃO PAULO;3170206;UBERLÂNDIA;210520
6475611;3550308;SÃO PAULO;2925303;PORTO SEGURO;211244
7759410;3550308;SÃO PAULO;4209102;JOINVILLE;217181
7664008;3550308;SÃO PAULO;4113700;LONDRINA;250390
7761614;3550308;SÃO PAULO;4211306;NAVEGANTES;351377
6161914;3550308;SÃO PAULO;2611606;RECIFE;567263
6477716;3550308;SÃO PAULO;2927408;SALVADOR;926154
6656508;3550308;SÃO PAULO;3106200;BELO HORIZONTE;1240478
7675814;3550308;SÃO PAULO;4106902;CURITIBA;1466728
8239206;4106902;CURITIBA;4113700;LONDRINA;72391
8233810;4106902;CURITIBA;4108304;FOZ DO IGUAÇU;73512
7412861;4108304;FOZ DO IGUAÇU;3304557;RIO DE JANEIRO;94900
7658612;4108304;FOZ DO IGUAÇU;3550308;SÃO PAULO;276392
9116404;4113700;LONDRINA;5002704;CAMPO GRANDE;35773
8240706;4115200;MARINGÁ;4106902;CURITIBA;36269
7509964;4205407;FLORIANÓPOLIS;3304557;RIO DE JANEIRO;23328
8330913;4205407;FLORIANÓPOLIS;4106902;CURITIBA;90291
