id;Cod-orig;Munic-origem;Cod-Dest;Munic-destino;Pax
6203608;1100205;PORTO VELHO;5103403;CUIABÁ;21027
2300606;1200401;RIO BRANCO;1100205;PORTO VELHO;27444
2402808;1302603;MANAUS;1100205;PORTO VELHO;54717
4607160;1302603;MANAUS;3304557;RIO DE JANEIRO;71138
2702703;1400100;BOA VISTA;1302603;MANAUS;58173
3008209;1501402;BELÉM;1506807;SANTARÉM;67508
6801510;1501402;BELÉM;5300108;BRASÍLIA;83330
4805959;1501402;BELÉM;3304557;RIO DE JANEIRO;107388
3101705;1501402;BELÉM;1600303;MACAPÁ;110226
2804005;1501402;BELÉM;1302603;MANAUS;124571
2809410;1506807;SANTARÉM;1302603;MANAUS;29569
4415700;2111300;SÃO LUÍS;2304400;FORTALEZA;33269
7411408;2111300;SÃO LUÍS;5300108;BRASÍLIA;36048
3612702;2111300;SÃO LUÍS;1501402;BELÉM;47070
7511109;2211001;TERESINA;5300108;BRASÍLIA;28096
4515401;2211001;TERESINA;2304400;FORTALEZA;40470
5231808;2304400;FORTALEZA;2927408;SALVADOR;38072
3607003;2304400;FORTALEZA;1302603;MANAUS;46715
3805802;2304400;FORTALEZA;1501402;BELÉM;58287
4712502;2304400;FORTALEZA;2408102;NATAL;83618
5608957;2304400;FORTALEZA;3304557;RIO DE JANEIRO;116944
5019708;2408102;NATAL;2611606;RECIFE;48928
5119113;2507507;JOÃO PESSOA;2611606;RECIFE;25569
4113008;2611606;RECIFE;1501402;BELÉM;22628
5315908;2611606;RECIFE;2704302;MACEIÓ;79820
5539014;2611606;RECIFE;2927408;SALVADOR;120630
4916006;2611606;RECIFE;2304400;FORTALEZA;134920
5916163;2611606;RECIFE;3304557;RIO DE JANEIRO;230690
6008859;2704302;MACEIÓ;3304557;RIO DE JANEIRO;43647
6254610;2704302;MACEIÓ;3550308;SÃO PAULO;56595
5631710;2704302;MACEIÓ;2927408;SALVADOR;66155
6350616;2800308;ARACAJU;3550308;SÃO PAULO;22494
5411914;2800308;ARACAJU;2611606;RECIFE;27896
5727716;2800308;ARACAJU;2927408;SALVADOR;55671
5841014;2927408;SALVADOR;2913606;ILHÉUS;42740
8227516;2927408;SALVADOR;5300108;BRASÍLIA;97041
6477716;2927408;SALVADOR;3550308;SÃO PAULO;241286
6231965;2927408;SALVADOR;3304557;RIO DE JANEIRO;348016
6323185;3117876;CONFINS;3205309;VITÓRIA;32838
6045284;3117876;CONFINS;2927408;SALVADOR;50564
8417984;3117876;CONFINS;5300108;BRASÍLIA;158339
6509866;3205309;VITÓRIA;3304557;RIO DE JANEIRO;168017
7509964;3304557;RIO DE JANEIRO;4205407;FLORIANÓPOLIS;24225
5415857;3304557;RIO DE JANEIRO;2111300;SÃO LUÍS;32066
6104865;3304557;RIO DE JANEIRO;2800308;ARACAJU;32091
5712659;3304557;RIO DE JANEIRO;2408102;NATAL;40480
6422433;3304557;RIO DE JANEIRO;3117876;CONFINS;379214
6814059;3509502;CAMPINAS;3304557;RIO DE JANEIRO;44156
7664008;3550308;SÃO PAULO;4113700;LONDRINA;33538
6755617;3550308;SÃO PAULO;3205309;VITÓRIA;55184
7761614;3550308;SÃO PAULO;4211306;NAVEGANTES;72922
4852911;3550308;SÃO PAULO;1302603;MANAUS;85467
8653711;3550308;SÃO PAULO;5103403;CUIABÁ;86910
8759015;3550308;SÃO PAULO;5208707;GOIÂNIA;95474
7755715;3550308;SÃO PAULO;4205407;FLORIANÓPOLIS;108938
5854708;3550308;SÃO PAULO;2304400;FORTALEZA;110540
6161914;3550308;SÃO PAULO;2611606;RECIFE;168530
7657210;3550308;SÃO PAULO;4106902;CURITIBA;336264
6668184;3550308;SÃO PAULO;3117876;CONFINS;361317
8850416;3550308;SÃO PAULO;5300108;BRASÍLIA;473862
6854865;3550308;SÃO PAULO;3304557;RIO DE JANEIRO;2543697
7411459;4106902;CURITIBA;3304557;RIO DE JANEIRO;118139
8215206;4108304;FOZ DO IGUAÇU;4106902;CURITIBA;50636
7412861;4108304;FOZ DO IGUAÇU;3304557;RIO DE JANEIRO;99535
7658612;4108304;FOZ DO IGUAÇU;3550308;SÃO PAULO;183885
8312309;4205407;FLORIANÓPOLIS;4106902;CURITIBA;24212
8520309;4205407;FLORIANÓPOLIS;4314902;PORTO ALEGRE;52983
8421804;4314902;PORTO ALEGRE;4106902;CURITIBA;77924
7619459;4314902;PORTO ALEGRE;3304557;RIO DE JANEIRO;284292
7865210;4314902;PORTO ALEGRE;3550308;SÃO PAULO;487088
8553012;5002704;CAMPO GRANDE;3550308;SÃO PAULO;106428
10106107;5103403;CUIABÁ;5002704;CAMPO GRANDE;26094
8407960;5103403;CUIABÁ;3304557;RIO DE JANEIRO;28610
10403511;5103403;CUIABÁ;5300108;BRASÍLIA;48148
10508815;5208707;GOIÂNIA;5300108;BRASÍLIA;57142
9615010;5300108;BRASÍLIA;4314902;PORTO ALEGRE;24102
7604508;5300108;BRASÍLIA;2304400;FORTALEZA;53264
7911714;5300108;BRASÍLIA;2611606;RECIFE;63202
6602711;5300108;BRASÍLIA;1302603;MANAUS;156843
8604665;5300108;BRASÍLIA;3304557;RIO DE JANEIRO;526920
