id;Cod-orig;Munic-origem;Cod-Dest;Munic-destino;Carga (Kg)
1773425819;3550308;SÃO PAULO;3543402;RIBEIRÃO PRETO;573629
1775028241;3550308;SÃO PAULO;3549805;SÃO JOSÉ DO RIO PRETO;713064
1905648065;3550308;SÃO PAULO;4113700;LONDRINA;723637
1103086321;3550308;SÃO PAULO;1600303;MACAPÁ;753461
1925869170;3550308;SÃO PAULO;4209102;JOINVILLE;905285
1565510478;3550308;SÃO PAULO;2800308;ARACAJU;1029280
1926330449;3550308;SÃO PAULO;4211306;NAVEGANTES;1038796
1600299553;3550308;SÃO PAULO;2913606;ILHÉUS;1053215
1323964018;3550308;SÃO PAULO;2111300;SÃO LUÍS;1059529
1674754002;3550308;SÃO PAULO;3170206;UBERLÂNDIA;1076084
1362491499;3550308;SÃO PAULO;2211001;TERESINA;1341881
1469576433;3550308;SÃO PAULO;2507507;JOÃO PESSOA;1700995
2093743654;3550308;SÃO PAULO;5103403;CUIABÁ;2286973
1535044555;3550308;SÃO PAULO;2704302;MACEIÓ;2395803
1684499607;3550308;SÃO PAULO;3205309;VITÓRIA;3094442
2076594775;3550308;SÃO PAULO;5002704;CAMPO GRANDE;3494472
2111254990;3550308;SÃO PAULO;5208707;GOIÂNIA;3769696
1055175283;3550308;SÃO PAULO;1501402;BELÉM;4086991
1434863293;3550308;SÃO PAULO;2408102;NATAL;4208836
1925095251;3550308;SÃO PAULO;4205407;FLORIANÓPOLIS;4268038
1904187951;3550308;SÃO PAULO;4106902;CURITIBA;5603421
1656719515;3550308;SÃO PAULO;3106200;BELO HORIZONTE;5984600
1711513670;3550308;SÃO PAULO;3304557;RIO DE JANEIRO;9767698
1947720542;3550308;SÃO PAULO;4314902;PORTO ALEGRE;11838696
1604454415;3550308;SÃO PAULO;2927408;SALVADOR;16390430
1504728185;3550308;SÃO PAULO;2611606;RECIFE;17085126
1397393303;3550308;SÃO PAULO;2304400;FORTALEZA;21491642
2126116538;3550308;SÃO PAULO;5300108;BRASÍLIA;22119835
952962428;3550308;SÃO PAULO;1302603;MANAUS;99343983
2055523406;4106902;CURITIBA;4115200;MARINGÁ;253063
2275622358;4106902;CURITIBA;5103403;CUIABÁ;270132
2055149094;4106902;CURITIBA;4113700;LONDRINA;538227
988937595;4106902;CURITIBA;1302603;MANAUS;810375
1892386588;4106902;CURITIBA;3509502;CAMPINAS;1053719
1502161431;4314902;PORTO ALEGRE;2304400;FORTALEZA;321194
1935375167;4314902;PORTO ALEGRE;3509502;CAMPINAS;394282
2129725468;4314902;PORTO ALEGRE;4205407;FLORIANÓPOLIS;654538
2104166714;4314902;PORTO ALEGRE;4106902;CURITIBA;1832560
2093568707;5103403;CUIABÁ;3549805;SÃO JOSÉ DO RIO PRETO;323334
2526275904;5103403;CUIABÁ;5002704;CAMPO GRANDE;498792
905084508;5103403;CUIABÁ;1100205;PORTO VELHO;614236
1293587845;5208707;GOIÂNIA;1721000;PALMAS;276986
2344860986;5300108;BRASÍLIA;4205407;FLORIANÓPOLIS;247893
1702191759;5300108;BRASÍLIA;2507507;JOÃO PESSOA;336005
1607505994;5300108;BRASÍLIA;2307304;JUAZEIRO DO NORTE;398938
1790649487;5300108;BRASÍLIA;2704302;MACEIÓ;422612
1832243533;5300108;BRASÍLIA;2800308;ARACAJU;560415
2573556762;5300108;BRASÍLIA;5002704;CAMPO GRANDE;597858
1997372247;5300108;BRASÍLIA;3205309;VITÓRIA;807349
1107529976;5300108;BRASÍLIA;1400100;BOA VISTA;828004
1506780579;5300108;BRASÍLIA;2105302;IMPERATRIZ;863857
978731810;5300108;BRASÍLIA;1200401;RIO BRANCO;911096
1171677631;5300108;BRASÍLIA;1504208;MARABÁ;1170378
1229170078;5300108;BRASÍLIA;1600303;MACAPÁ;1245981
2599947947;5300108;BRASÍLIA;5103403;CUIABÁ;1486698
2111414651;5300108;BRASÍLIA;3509502;CAMPINAS;1614893
911081274;5300108;BRASÍLIA;1100205;PORTO VELHO;1656484
1655793066;5300108;BRASÍLIA;2408102;NATAL;1681056
1560161633;5300108;BRASÍLIA;2211001;TERESINA;1720805
2378515114;5300108;BRASÍLIA;4314902;PORTO ALEGRE;2085426
2313915276;5300108;BRASÍLIA;4106902;CURITIBA;2100097
1299151909;5300108;BRASÍLIA;1721000;PALMAS;2182121
1509850492;5300108;BRASÍLIA;2111300;SÃO LUÍS;2222427
2627005008;5300108;BRASÍLIA;5208707;GOIÂNIA;2407844
1958433532;5300108;BRASÍLIA;3106200;BELO HORIZONTE;2668150
1885815665;5300108;BRASÍLIA;2927408;SALVADOR;2790957
1749531625;5300108;BRASÍLIA;2611606;RECIFE;3357057
1606095867;5300108;BRASÍLIA;2304400;FORTALEZA;3395358
1169974425;5300108;BRASÍLIA;1501402;BELÉM;4258869
1045621500;5300108;BRASÍLIA;1302603;MANAUS;9540673
