Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
143,0.50,0.49,0.56,0.50,0.57
144,0.50,0.49,0.56,0.50,0.57
145,0.50,0.49,0.56,0.50,0.57
146,0.50,0.48,0.56,0.50,0.58
147,0.50,0.48,0.56,0.50,0.58
148,0.50,0.48,0.56,0.49,0.58
149,0.50,0.48,0.56,0.49,0.58
150,0.50,0.48,0.56,0.49,0.58
151,0.49,0.48,0.56,0.49,0.58
152,0.49,0.48,0.56,0.49,0.58
153,0.49,0.48,0.56,0.49,0.58
154,0.49,0.48,0.56,0.49,0.58
155,0.49,0.48,0.56,0.49,0.58
156,0.49,0.47,0.56,0.49,0.58
157,0.49,0.47,0.56,0.49,0.59
158,0.49,0.47,0.56,0.48,0.59
159,0.49,0.47,0.56,0.48,0.59
160,0.49,0.47,0.56,0.48,0.59
161,0.48,0.47,0.56,0.48,0.59
162,0.48,0.47,0.56,0.48,0.59
163,0.48,0.47,0.56,0.48,0.59
164,0.48,0.47,0.56,0.48,0.59
165,0.48,0.46,0.56,0.48,0.59
166,0.48,0.46,0.56,0.48,0.59
167,0.48,0.46,0.56,0.48,0.58
168,0.48,0.46,0.56,0.47,0.58
169,0.48,0.46,0.56,0.47,0.58
170,0.47,0.46,0.55,0.47,0.58
171,0.47,0.46,0.55,0.47,0.58
172,0.47,0.46,0.55,0.47,0.58
173,0.47,0.46,0.55,0.47,0.58
174,0.47,0.46,0.55,0.47,0.58
175,0.47,0.46,0.55,0.47,0.58
176,0.47,0.46,0.55,0.46,0.58
177,0.47,0.45,0.55,0.46,0.58
178,0.47,0.45,0.55,0.46,0.58
179,0.46,0.45,0.55,0.46,0.59
180,0.46,0.45,0.55,0.46,0.59
181,0.46,0.45,0.55,0.46,0.59
182,0.46,0.45,0.55,0.46,0.59
183,0.46,0.45,0.54,0.46,0.59
184,0.46,0.45,0.54,0.46,0.59
185,0.46,0.44,0.54,0.45,0.59
186,0.46,0.44,0.54,0.45,0.59
187,0.46,0.44,0.54,0.45,0.59
188,0.45,0.44,0.54,0.45,0.59
189,0.45,0.44,0.54,0.45,0.59
190,0.45,0.44,0.54,0.45,0.59
191,0.45,0.43,0.54,0.45,0.59
192,0.45,0.43,0.54,0.45,0.59
193,0.45,0.43,0.54,0.45,0.59
194,0.45,0.43,0.54,0.45,0.59
195,0.45,0.43,0.54,0.44,0.59
196,0.45,0.43,0.54,0.44,0.59
197,0.44,0.43,0.54,0.44,0.60
198,0.44,0.42,0.54,0.44,0.60
199,0.44,0.42,0.54,0.44,0.60
200,0.44,0.42,0.53,0.44,0.60
201,0.44,0.42,0.53,0.44,0.60
202,0.44,0.42,0.53,0.43,0.60
203,0.44,0.41,0.53,0.43,0.60
204,0.44,0.41,0.53,0.43,0.60
205,0.44,0.41,0.53,0.43,0.60
206,0.43,0.41,0.53,0.43,0.60
207,0.43,0.41,0.53,0.43,0.60
208,0.43,0.41,0.52,0.43,0.60
209,0.43,0.41,0.52,0.43,0.60
210,0.43,0.41,0.52,0.42,0.60
211,0.43,0.40,0.52,0.42,0.60
212,0.43,0.40,0.52,0.42,0.60
213,0.43,0.40,0.52,0.42,0.60
214,0.43,0.40,0.52,0.42,0.60
215,0.43,0.40,0.51,0.42,0.60
216,0.42,0.40,0.51,0.42,0.61
217,0.42,0.40,0.51,0.42,0.61
218,0.42,0.40,0.51,0.42,0.61
219,0.42,0.39,0.51,0.42,0.61
220,0.42,0.39,0.51,0.41,0.61
221,0.42,0.39,0.51,0.41,0.61
222,0.42,0.39,0.51,0.41,0.61
223,0.41,0.39,0.50,0.41,0.61
224,0.41,0.38,0.50,0.41,0.61
225,0.41,0.38,0.50,0.41,0.62
226,0.41,0.38,0.50,0.40,0.62
227,0.41,0.38,0.50,0.40,0.62
228,0.41,0.38,0.50,0.40,0.62
229,0.41,0.38,0.50,0.40,0.62
230,0.41,0.38,0.50,0.40,0.62
231,0.40,0.37,0.49,0.40,0.62
232,0.40,0.37,0.49,0.40,0.63
233,0.40,0.37,0.49,0.39,0.63
234,0.40,0.37,0.49,0.39,0.63
235,0.39,0.37,0.49,0.39,0.63
236,0.39,0.37,0.49,0.39,0.63
237,0.39,0.36,0.49,0.38,0.63
238,0.39,0.36,0.49,0.38,0.63
239,0.39,0.36,0.49,0.38,0.63
240,0.39,0.36,0.48,0.38,0.63
241,0.38,0.35,0.48,0.38,0.63
242,0.38,0.35,0.48,0.38,0.63
243,0.38,0.35,0.47,0.37,0.63
244,0.38,0.35,0.47,0.37,0.63
245,0.38,0.35,0.47,0.37,0.63
246,0.38,0.34,0.47,0.36,0.63
247,0.38,0.34,0.46,0.36,0.63
248,0.38,0.34,0.46,0.36,0.64
249,0.37,0.34,0.46,0.36,0.64
250,0.37,0.34,0.46,0.36,0.64
251,0.37,0.33,0.46,0.36,0.64
252,0.37,0.33,0.46,0.35,0.65
253,0.37,0.33,0.46,0.35,0.65
254,0.37,0.33,0.45,0.35,0.65
255,0.36,0.32,0.45,0.35,0.65
256,0.36,0.32,0.45,0.35,0.65
257,0.36,0.32,0.45,0.35,0.66
258,0.36,0.31,0.45,0.35,0.66
259,0.35,0.31,0.45,0.34,0.67
260,0.35,0.31,0.44,0.34,0.67
261,0.35,0.31,0.44,0.33,0.67
262,0.35,0.31,0.44,0.33,0.68
263,0.34,0.31,0.43,0.33,0.69
264,0.34,0.31,0.42,0.33,0.69
265,0.34,0.30,0.42,0.32,0.70
266,0.33,0.29,0.42,0.32,0.69
267,0.33,0.28,0.42,0.32,0.71
268,0.33,0.28,0.42,0.31,0.71
269,0.33,0.28,0.42,0.31,0.71
270,0.33,0.27,0.42,0.31,0.71
271,0.32,0.27,0.41,0.30,0.71
272,0.32,0.27,0.41,0.30,0.71
273,0.31,0.26,0.41,0.30,0.71
274,0.31,0.26,0.41,0.29,0.71
275,0.29,0.25,0.41,0.29,0.71
276,0.29,0.25,0.40,0.28,0.71
277,0.29,0.24,0.40,0.28,0.71
278,0.29,0.24,0.40,0.28,0.71
279,0.28,0.23,0.39,0.27,0.71
280,0.28,0.23,0.38,0.27,0.71
281,0.28,0.24,0.38,0.27,0.71
282,0.28,0.23,0.37,0.27,0.71
283,0.27,0.22,0.36,0.26,0.71
284,0.27,0.19,0.36,0.26,0.71
285,0.27,0.19,0.35,0.26,0.72
