Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.96,0.96,0.96,0.91,0.96
2,0.91,0.91,0.91,0.83,0.91
3,0.74,0.74,0.74,0.78,0.83
4,0.35,0.52,0.52,0.74,0.78
5,0.35,0.43,0.48,0.43,0.74
6,0.35,0.30,0.39,0.30,0.70
7,0.13,0.22,0.39,0.22,0.65
8,0.13,0.22,0.17,0.13,0.61
9,0.13,0.13,0.13,0.13,0.57
10,0.13,0.09,0.09,0.13,0.52
11,0.13,0.09,0.09,0.13,0.48
12,0.04,0.04,0.09,0.04,0.43
13,0.04,0.04,0.09,0.04,0.39
14,0.04,0.04,0.09,0.04,0.35
15,0.04,0.04,0.04,0.04,0.30
16,0.04,0.04,0.04,0.04,0.30
17,0.04,0.04,0.04,0.04,0.26
18,0.04,0.04,0.04,0.04,0.22
19,0.04,0.04,0.04,0.04,0.17
20,0.04,0.04,0.04,0.04,0.13
21,0.04,0.04,0.04,0.04,0.09
22,0.04,0.04,0.04,0.04,0.04
23,0.04,0.04,0.04,0.04,0.04
