Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.79,0.79,0.79,0.79,0.98
2,0.76,0.76,0.76,0.76,0.97
3,0.71,0.70,0.70,0.70,0.94
4,0.67,0.59,0.65,0.59,0.90
5,0.62,0.54,0.54,0.54,0.87
6,0.52,0.51,0.49,0.49,0.86
7,0.44,0.46,0.44,0.46,0.84
8,0.32,0.30,0.35,0.46,0.83
9,0.21,0.30,0.21,0.30,0.79
10,0.10,0.21,0.21,0.30,0.78
11,0.06,0.21,0.19,0.16,0.76
12,0.06,0.21,0.19,0.13,0.75
13,0.06,0.10,0.19,0.13,0.73
14,0.06,0.06,0.19,0.13,0.71
15,0.06,0.06,0.17,0.13,0.71
16,0.06,0.06,0.10,0.13,0.70
17,0.06,0.06,0.06,0.13,0.68
18,0.06,0.03,0.06,0.13,0.67
19,0.06,0.03,0.06,0.11,0.65
20,0.06,0.02,0.06,0.11,0.65
21,0.03,0.02,0.06,0.11,0.63
22,0.03,0.02,0.06,0.11,0.62
23,0.03,0.02,0.05,0.10,0.60
24,0.03,0.02,0.05,0.10,0.59
25,0.02,0.02,0.05,0.08,0.57
26,0.02,0.02,0.05,0.08,0.56
27,0.02,0.02,0.05,0.06,0.52
28,0.02,0.02,0.05,0.06,0.51
29,0.02,0.02,0.05,0.06,0.49
30,0.02,0.02,0.05,0.06,0.48
31,0.02,0.02,0.05,0.06,0.46
32,0.02,0.02,0.05,0.06,0.46
33,0.02,0.02,0.05,0.06,0.44
34,0.02,0.02,0.05,0.06,0.43
35,0.02,0.02,0.05,0.06,0.41
36,0.02,0.02,0.05,0.06,0.38
37,0.02,0.02,0.05,0.06,0.37
38,0.02,0.02,0.05,0.06,0.32
39,0.02,0.02,0.05,0.06,0.32
40,0.02,0.02,0.05,0.06,0.30
41,0.02,0.02,0.05,0.06,0.29
42,0.02,0.02,0.05,0.06,0.27
43,0.02,0.02,0.05,0.06,0.25
44,0.02,0.02,0.05,0.06,0.24
45,0.02,0.02,0.05,0.06,0.22
46,0.02,0.02,0.05,0.06,0.21
47,0.02,0.02,0.05,0.06,0.21
48,0.02,0.02,0.05,0.06,0.19
49,0.02,0.02,0.05,0.06,0.19
50,0.02,0.02,0.05,0.06,0.16
51,0.02,0.02,0.05,0.05,0.14
52,0.02,0.02,0.05,0.05,0.06
53,0.02,0.02,0.05,0.05,0.06
54,0.02,0.02,0.05,0.05,0.06
55,0.02,0.02,0.05,0.05,0.05
56,0.02,0.02,0.03,0.05,0.03
57,0.02,0.02,0.02,0.05,0.03
58,0.02,0.02,0.02,0.05,0.02
59,0.02,0.02,0.02,0.05,0.02
60,0.02,0.02,0.02,0.05,0.02
61,0.02,0.02,0.02,0.02,0.02
62,0.02,0.02,0.02,0.02,0.02
63,0.02,0.02,0.02,0.02,0.02
