Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.88,0.88,0.88,0.88,0.99
2,0.86,0.86,0.86,0.79,0.97
3,0.85,0.77,0.77,0.71,0.96
4,0.78,0.64,0.70,0.64,0.95
5,0.75,0.58,0.58,0.58,0.93
6,0.74,0.55,0.55,0.55,0.92
7,0.64,0.52,0.48,0.51,0.90
8,0.59,0.45,0.42,0.45,0.88
9,0.41,0.41,0.40,0.38,0.86
10,0.25,0.34,0.40,0.36,0.85
11,0.25,0.21,0.36,0.36,0.84
12,0.11,0.21,0.33,0.32,0.82
13,0.11,0.21,0.33,0.32,0.78
14,0.04,0.21,0.30,0.21,0.75
15,0.04,0.11,0.22,0.11,0.73
16,0.04,0.11,0.21,0.05,0.71
17,0.04,0.11,0.15,0.04,0.70
18,0.04,0.05,0.15,0.04,0.68
19,0.04,0.04,0.15,0.04,0.67
20,0.04,0.03,0.15,0.03,0.66
21,0.04,0.03,0.14,0.03,0.64
22,0.04,0.03,0.12,0.03,0.63
23,0.04,0.03,0.12,0.03,0.62
24,0.04,0.03,0.12,0.01,0.60
25,0.04,0.01,0.10,0.01,0.59
26,0.03,0.01,0.10,0.01,0.58
27,0.03,0.01,0.10,0.01,0.56
28,0.03,0.01,0.10,0.01,0.51
29,0.03,0.01,0.10,0.01,0.49
30,0.03,0.01,0.10,0.01,0.48
31,0.03,0.01,0.10,0.01,0.47
32,0.03,0.01,0.10,0.01,0.45
33,0.03,0.01,0.08,0.01,0.42
34,0.03,0.01,0.08,0.01,0.41
35,0.03,0.01,0.08,0.01,0.40
36,0.03,0.01,0.08,0.01,0.38
37,0.03,0.01,0.08,0.01,0.37
38,0.03,0.01,0.08,0.01,0.37
39,0.03,0.01,0.05,0.01,0.37
40,0.03,0.01,0.05,0.01,0.36
41,0.03,0.01,0.05,0.01,0.34
42,0.03,0.01,0.05,0.01,0.32
43,0.03,0.01,0.05,0.01,0.32
44,0.03,0.01,0.05,0.01,0.30
45,0.03,0.01,0.05,0.01,0.29
46,0.03,0.01,0.05,0.01,0.29
47,0.01,0.01,0.04,0.01,0.25
48,0.01,0.01,0.04,0.01,0.25
49,0.01,0.01,0.04,0.01,0.23
50,0.01,0.01,0.04,0.01,0.22
51,0.01,0.01,0.04,0.01,0.21
52,0.01,0.01,0.04,0.01,0.19
53,0.01,0.01,0.04,0.01,0.18
54,0.01,0.01,0.04,0.01,0.16
55,0.01,0.01,0.04,0.01,0.16
56,0.01,0.01,0.04,0.01,0.16
57,0.01,0.01,0.04,0.01,0.14
58,0.01,0.01,0.04,0.01,0.14
59,0.01,0.01,0.04,0.01,0.14
60,0.01,0.01,0.04,0.01,0.12
61,0.01,0.01,0.04,0.01,0.10
62,0.01,0.01,0.04,0.01,0.10
63,0.01,0.01,0.04,0.01,0.10
64,0.01,0.01,0.04,0.01,0.08
65,0.01,0.01,0.04,0.01,0.08
66,0.01,0.01,0.04,0.01,0.07
67,0.01,0.01,0.03,0.01,0.03
68,0.01,0.01,0.03,0.01,0.03
69,0.01,0.01,0.01,0.01,0.01
70,0.01,0.01,0.01,0.01,0.01
71,0.01,0.01,0.01,0.01,0.01
72,0.01,0.01,0.01,0.01,0.01
73,0.01,0.01,0.01,0.01,0.01
