Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.76,0.76,0.76,0.76,0.98
2,0.71,0.63,0.63,0.63,0.95
3,0.59,0.59,0.61,0.59,0.90
4,0.46,0.51,0.59,0.51,0.85
5,0.41,0.39,0.51,0.39,0.83
6,0.24,0.39,0.20,0.39,0.80
7,0.15,0.34,0.15,0.34,0.78
8,0.15,0.24,0.15,0.24,0.76
9,0.10,0.15,0.15,0.15,0.73
10,0.10,0.10,0.10,0.15,0.71
11,0.05,0.07,0.07,0.07,0.68
12,0.05,0.07,0.07,0.07,0.66
13,0.05,0.05,0.07,0.05,0.63
14,0.05,0.02,0.07,0.05,0.61
15,0.05,0.02,0.07,0.05,0.59
16,0.05,0.02,0.07,0.05,0.56
17,0.05,0.02,0.07,0.05,0.54
18,0.05,0.02,0.07,0.02,0.51
19,0.05,0.02,0.02,0.02,0.49
20,0.05,0.02,0.02,0.02,0.49
21,0.05,0.02,0.02,0.02,0.46
22,0.05,0.02,0.02,0.02,0.44
23,0.02,0.02,0.02,0.02,0.41
24,0.02,0.02,0.02,0.02,0.39
25,0.02,0.02,0.02,0.02,0.34
26,0.02,0.02,0.02,0.02,0.34
27,0.02,0.02,0.02,0.02,0.32
28,0.02,0.02,0.02,0.02,0.29
29,0.02,0.02,0.02,0.02,0.27
30,0.02,0.02,0.02,0.02,0.24
31,0.02,0.02,0.02,0.02,0.22
32,0.02,0.02,0.02,0.02,0.17
33,0.02,0.02,0.02,0.02,0.15
34,0.02,0.02,0.02,0.02,0.12
35,0.02,0.02,0.02,0.02,0.05
36,0.02,0.02,0.02,0.02,0.05
37,0.02,0.02,0.02,0.02,0.05
38,0.02,0.02,0.02,0.02,0.02
39,0.02,0.02,0.02,0.02,0.02
40,0.02,0.02,0.02,0.02,0.02
41,0.02,0.02,0.02,0.02,0.02
