Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.79,0.79,0.79,0.79,0.98
2,0.77,0.69,0.71,0.69,0.96
3,0.69,0.58,0.60,0.58,0.94
4,0.67,0.56,0.56,0.54,0.90
5,0.56,0.48,0.46,0.52,0.88
6,0.29,0.44,0.42,0.50,0.85
7,0.23,0.38,0.38,0.46,0.83
8,0.17,0.25,0.38,0.44,0.81
9,0.10,0.17,0.38,0.40,0.79
10,0.10,0.10,0.25,0.38,0.77
11,0.10,0.10,0.25,0.38,0.75
12,0.04,0.04,0.23,0.35,0.73
13,0.04,0.04,0.23,0.33,0.71
14,0.04,0.04,0.23,0.31,0.69
15,0.04,0.02,0.19,0.29,0.67
16,0.04,0.02,0.10,0.29,0.65
17,0.04,0.02,0.06,0.29,0.62
18,0.04,0.02,0.06,0.29,0.60
19,0.04,0.02,0.06,0.29,0.58
20,0.04,0.02,0.06,0.29,0.56
21,0.02,0.02,0.06,0.27,0.54
22,0.02,0.02,0.06,0.27,0.52
23,0.02,0.02,0.06,0.27,0.50
24,0.02,0.02,0.06,0.27,0.50
25,0.02,0.02,0.06,0.27,0.48
26,0.02,0.02,0.06,0.27,0.46
27,0.02,0.02,0.06,0.27,0.44
28,0.02,0.02,0.06,0.25,0.42
29,0.02,0.02,0.06,0.21,0.40
30,0.02,0.02,0.06,0.19,0.38
31,0.02,0.02,0.06,0.19,0.35
32,0.02,0.02,0.06,0.19,0.33
33,0.02,0.02,0.06,0.19,0.31
34,0.02,0.02,0.06,0.19,0.29
35,0.02,0.02,0.06,0.19,0.27
36,0.02,0.02,0.06,0.19,0.25
37,0.02,0.02,0.06,0.19,0.23
38,0.02,0.02,0.06,0.19,0.19
39,0.02,0.02,0.06,0.17,0.17
40,0.02,0.02,0.06,0.12,0.08
41,0.02,0.02,0.06,0.10,0.06
42,0.02,0.02,0.04,0.06,0.04
43,0.02,0.02,0.02,0.04,0.04
44,0.02,0.02,0.02,0.02,0.02
45,0.02,0.02,0.02,0.02,0.02
46,0.02,0.02,0.02,0.02,0.02
47,0.02,0.02,0.02,0.02,0.02
48,0.02,0.02,0.02,0.02,0.02
