Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.91,0.91,0.94,0.91,0.97
2,0.84,0.84,0.84,0.84,0.94
3,0.66,0.78,0.66,0.78,0.88
4,0.59,0.47,0.47,0.72,0.84
5,0.31,0.38,0.38,0.59,0.81
6,0.31,0.31,0.28,0.50,0.75
7,0.12,0.12,0.16,0.12,0.72
8,0.12,0.12,0.12,0.12,0.69
9,0.12,0.12,0.12,0.12,0.66
10,0.12,0.12,0.12,0.12,0.62
11,0.06,0.12,0.12,0.12,0.59
12,0.06,0.09,0.09,0.09,0.56
13,0.06,0.03,0.06,0.03,0.53
14,0.06,0.03,0.06,0.03,0.50
15,0.06,0.03,0.06,0.03,0.47
16,0.06,0.03,0.06,0.03,0.41
17,0.06,0.03,0.06,0.03,0.38
18,0.06,0.03,0.06,0.03,0.34
19,0.03,0.03,0.06,0.03,0.34
20,0.03,0.03,0.06,0.03,0.31
21,0.03,0.03,0.06,0.03,0.28
22,0.03,0.03,0.03,0.03,0.28
23,0.03,0.03,0.03,0.03,0.25
24,0.03,0.03,0.03,0.03,0.22
25,0.03,0.03,0.03,0.03,0.16
26,0.03,0.03,0.03,0.03,0.12
27,0.03,0.03,0.03,0.03,0.06
28,0.03,0.03,0.03,0.03,0.06
29,0.03,0.03,0.03,0.03,0.03
30,0.03,0.03,0.03,0.03,0.03
31,0.03,0.03,0.03,0.03,0.03
32,0.03,0.03,0.03,0.03,0.03
