Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.89,0.89,0.89,0.89,0.94
2,0.61,0.61,0.61,0.61,0.89
3,0.33,0.33,0.33,0.33,0.78
4,0.17,0.17,0.17,0.17,0.72
5,0.17,0.17,0.17,0.17,0.72
6,0.11,0.11,0.17,0.11,0.67
7,0.11,0.11,0.17,0.11,0.39
8,0.11,0.11,0.17,0.11,0.28
9,0.06,0.11,0.17,0.06,0.28
10,0.06,0.11,0.17,0.06,0.11
11,0.06,0.11,0.11,0.06,0.11
12,0.06,0.11,0.11,0.06,0.11
13,0.06,0.11,0.11,0.06,0.06
14,0.06,0.11,0.06,0.06,0.06
15,0.06,0.06,0.06,0.06,0.06
16,0.06,0.06,0.06,0.06,0.06
17,0.06,0.06,0.06,0.06,0.06
18,0.06,0.06,0.06,0.06,0.06
