Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,1.00,1.00,1.00,0.99,1.00
2,0.99,0.99,0.99,0.99,0.99
3,0.99,0.99,0.99,0.99,0.99
4,0.99,0.99,0.99,0.99,0.99
5,0.99,0.99,0.99,0.98,0.99
6,0.98,0.98,0.98,0.98,0.98
7,0.98,0.98,0.98,0.98,0.98
8,0.98,0.98,0.98,0.97,0.98
9,0.97,0.97,0.97,0.97,0.97
10,0.97,0.97,0.97,0.97,0.97
11,0.97,0.97,0.97,0.96,0.97
12,0.96,0.96,0.96,0.96,0.96
13,0.96,0.96,0.96,0.96,0.96
14,0.96,0.96,0.96,0.96,0.96
15,0.96,0.96,0.96,0.95,0.96
16,0.95,0.95,0.95,0.95,0.95
17,0.95,0.95,0.95,0.95,0.95
18,0.95,0.95,0.95,0.94,0.95
19,0.94,0.94,0.94,0.94,0.94
20,0.94,0.94,0.94,0.94,0.94
21,0.94,0.94,0.94,0.93,0.94
22,0.93,0.93,0.93,0.93,0.93
23,0.93,0.93,0.93,0.93,0.93
24,0.93,0.93,0.93,0.93,0.93
25,0.93,0.93,0.93,0.92,0.93
26,0.92,0.92,0.92,0.92,0.92
27,0.92,0.92,0.92,0.92,0.92
28,0.92,0.91,0.92,0.91,0.92
29,0.91,0.91,0.91,0.91,0.91
30,0.91,0.91,0.91,0.91,0.91
31,0.91,0.91,0.91,0.91,0.91
32,0.91,0.90,0.91,0.90,0.91
33,0.90,0.90,0.90,0.90,0.90
34,0.90,0.90,0.90,0.90,0.90
35,0.90,0.89,0.90,0.89,0.90
36,0.89,0.89,0.89,0.89,0.89
37,0.89,0.89,0.89,0.89,0.89
38,0.89,0.88,0.89,0.88,0.89
39,0.88,0.88,0.88,0.88,0.88
40,0.88,0.88,0.88,0.88,0.88
41,0.88,0.88,0.88,0.88,0.88
42,0.88,0.87,0.88,0.87,0.88
43,0.87,0.87,0.87,0.87,0.87
44,0.87,0.87,0.87,0.87,0.87
45,0.87,0.86,0.87,0.86,0.87
46,0.86,0.86,0.86,0.86,0.86
47,0.86,0.86,0.86,0.86,0.86
48,0.86,0.86,0.86,0.86,0.86
49,0.86,0.85,0.86,0.85,0.86
50,0.85,0.85,0.85,0.85,0.85
51,0.85,0.85,0.85,0.85,0.85
52,0.85,0.84,0.85,0.84,0.85
53,0.84,0.84,0.84,0.84,0.84
54,0.84,0.84,0.84,0.84,0.84
55,0.84,0.83,0.84,0.83,0.84
56,0.83,0.83,0.83,0.83,0.83
57,0.83,0.83,0.83,0.83,0.83
58,0.83,0.83,0.83,0.83,0.83
59,0.83,0.82,0.83,0.82,0.83
60,0.82,0.82,0.82,0.82,0.82
61,0.82,0.82,0.82,0.82,0.82
62,0.82,0.81,0.82,0.81,0.82
63,0.81,0.81,0.81,0.81,0.81
64,0.81,0.81,0.81,0.81,0.81
65,0.81,0.80,0.81,0.80,0.81
66,0.80,0.80,0.80,0.80,0.80
67,0.80,0.80,0.80,0.80,0.80
68,0.80,0.80,0.80,0.80,0.80
69,0.80,0.79,0.80,0.79,0.80
70,0.79,0.79,0.79,0.79,0.79
71,0.79,0.79,0.79,0.79,0.79
72,0.79,0.78,0.79,0.78,0.79
73,0.78,0.78,0.78,0.78,0.78
74,0.78,0.78,0.78,0.78,0.78
75,0.78,0.78,0.78,0.78,0.78
76,0.78,0.77,0.78,0.77,0.78
77,0.77,0.77,0.77,0.77,0.77
78,0.77,0.77,0.77,0.77,0.77
79,0.77,0.76,0.77,0.76,0.77
80,0.76,0.76,0.76,0.76,0.76
81,0.76,0.76,0.76,0.76,0.76
82,0.76,0.75,0.76,0.75,0.76
83,0.75,0.75,0.75,0.75,0.75
84,0.75,0.75,0.75,0.75,0.75
85,0.75,0.75,0.75,0.75,0.75
86,0.75,0.74,0.75,0.74,0.75
87,0.74,0.74,0.74,0.74,0.74
88,0.74,0.74,0.74,0.74,0.74
89,0.74,0.73,0.74,0.73,0.74
90,0.73,0.73,0.73,0.73,0.73
91,0.73,0.72,0.73,0.73,0.73
92,0.73,0.72,0.73,0.72,0.73
93,0.72,0.72,0.72,0.72,0.72
94,0.72,0.72,0.72,0.72,0.72
95,0.72,0.71,0.72,0.72,0.72
96,0.72,0.71,0.72,0.71,0.72
97,0.71,0.71,0.71,0.71,0.71
98,0.71,0.70,0.71,0.71,0.71
99,0.71,0.70,0.71,0.70,0.71
100,0.70,0.70,0.70,0.70,0.70
101,0.70,0.70,0.70,0.70,0.70
102,0.70,0.69,0.70,0.70,0.70
103,0.70,0.69,0.70,0.69,0.70
104,0.69,0.69,0.69,0.69,0.69
105,0.69,0.68,0.69,0.69,0.69
106,0.69,0.68,0.69,0.68,0.69
107,0.68,0.68,0.68,0.68,0.68
108,0.68,0.67,0.68,0.68,0.68
109,0.68,0.67,0.68,0.67,0.68
110,0.67,0.67,0.67,0.67,0.67
111,0.67,0.67,0.67,0.67,0.67
112,0.67,0.66,0.67,0.67,0.67
113,0.67,0.66,0.67,0.66,0.67
114,0.66,0.66,0.66,0.66,0.66
115,0.66,0.65,0.66,0.66,0.66
116,0.66,0.65,0.66,0.65,0.66
117,0.65,0.65,0.65,0.65,0.65
118,0.65,0.64,0.65,0.65,0.65
119,0.65,0.64,0.65,0.64,0.65
120,0.64,0.64,0.64,0.64,0.65
121,0.64,0.64,0.64,0.64,0.64
122,0.64,0.63,0.64,0.64,0.64
123,0.64,0.63,0.64,0.63,0.64
124,0.63,0.63,0.63,0.63,0.64
125,0.63,0.62,0.63,0.63,0.63
126,0.63,0.62,0.63,0.62,0.63
127,0.62,0.62,0.62,0.62,0.63
128,0.62,0.62,0.62,0.62,0.62
129,0.62,0.61,0.62,0.62,0.62
130,0.62,0.61,0.62,0.61,0.62
131,0.61,0.61,0.61,0.61,0.62
132,0.61,0.60,0.61,0.61,0.61
133,0.61,0.60,0.61,0.60,0.61
134,0.60,0.60,0.60,0.60,0.61
135,0.60,0.59,0.60,0.60,0.60
136,0.60,0.59,0.60,0.59,0.60
137,0.59,0.59,0.59,0.59,0.60
138,0.59,0.59,0.59,0.59,0.59
139,0.59,0.58,0.59,0.59,0.59
140,0.59,0.58,0.58,0.58,0.59
141,0.58,0.58,0.58,0.58,0.59
142,0.58,0.57,0.58,0.58,0.58
143,0.58,0.57,0.57,0.57,0.58
144,0.57,0.57,0.57,0.57,0.58
145,0.57,0.57,0.57,0.57,0.58
146,0.57,0.56,0.57,0.57,0.58
147,0.57,0.56,0.56,0.56,0.57
148,0.56,0.56,0.56,0.56,0.57
149,0.56,0.55,0.56,0.56,0.57
150,0.56,0.55,0.55,0.55,0.57
151,0.55,0.55,0.55,0.55,0.56
152,0.55,0.54,0.55,0.55,0.56
153,0.55,0.54,0.54,0.54,0.56
154,0.54,0.54,0.54,0.54,0.55
155,0.54,0.54,0.54,0.54,0.55
156,0.54,0.53,0.54,0.54,0.55
157,0.54,0.53,0.53,0.53,0.54
158,0.53,0.53,0.53,0.53,0.54
159,0.53,0.52,0.52,0.53,0.54
160,0.53,0.52,0.52,0.52,0.54
161,0.52,0.52,0.52,0.52,0.53
162,0.52,0.51,0.51,0.52,0.53
163,0.52,0.51,0.51,0.51,0.53
164,0.51,0.51,0.51,0.51,0.52
165,0.51,0.51,0.51,0.51,0.52
166,0.51,0.50,0.50,0.51,0.52
167,0.51,0.50,0.50,0.50,0.51
168,0.50,0.50,0.50,0.50,0.51
169,0.50,0.49,0.49,0.50,0.51
170,0.50,0.49,0.49,0.49,0.51
171,0.49,0.49,0.49,0.49,0.50
172,0.49,0.49,0.49,0.49,0.50
173,0.49,0.48,0.48,0.49,0.50
174,0.49,0.48,0.48,0.48,0.49
175,0.48,0.48,0.48,0.48,0.49
176,0.48,0.47,0.47,0.48,0.49
177,0.48,0.47,0.47,0.47,0.49
178,0.47,0.47,0.47,0.47,0.48
179,0.47,0.46,0.46,0.47,0.48
180,0.47,0.46,0.46,0.46,0.48
181,0.46,0.46,0.46,0.46,0.48
182,0.46,0.46,0.46,0.46,0.47
183,0.46,0.45,0.45,0.46,0.47
184,0.46,0.45,0.45,0.45,0.47
185,0.45,0.45,0.45,0.45,0.46
186,0.45,0.44,0.44,0.45,0.46
187,0.45,0.44,0.44,0.44,0.46
188,0.44,0.44,0.44,0.44,0.46
189,0.44,0.43,0.43,0.44,0.45
190,0.44,0.43,0.43,0.43,0.45
191,0.43,0.43,0.43,0.43,0.45
192,0.43,0.43,0.43,0.43,0.44
193,0.43,0.42,0.42,0.43,0.44
194,0.43,0.42,0.42,0.42,0.44
195,0.42,0.42,0.42,0.42,0.43
196,0.42,0.41,0.41,0.42,0.43
197,0.42,0.41,0.41,0.41,0.43
198,0.41,0.41,0.41,0.41,0.43
199,0.41,0.41,0.41,0.41,0.42
200,0.41,0.40,0.40,0.41,0.42
201,0.41,0.40,0.40,0.40,0.42
202,0.40,0.40,0.40,0.40,0.41
203,0.40,0.39,0.39,0.40,0.41
204,0.40,0.39,0.39,0.39,0.41
205,0.39,0.39,0.39,0.39,0.41
206,0.39,0.38,0.38,0.39,0.40
207,0.39,0.38,0.38,0.38,0.40
208,0.38,0.38,0.38,0.38,0.40
209,0.38,0.38,0.38,0.38,0.39
210,0.38,0.37,0.37,0.38,0.39
211,0.38,0.37,0.37,0.37,0.39
212,0.37,0.37,0.37,0.37,0.38
213,0.37,0.36,0.36,0.37,0.38
214,0.37,0.36,0.36,0.36,0.38
