Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.78,0.78,0.78,0.78,1.02
2,0.42,0.42,0.42,0.42,1.06
3,0.20,0.20,0.20,0.20,0.92
4,0.09,0.09,0.09,0.09,0.94
5,0.08,0.08,0.11,0.08,1.10
6,0.03,0.03,0.13,0.03,1.09
7,0.03,0.03,0.15,0.03,0.43
8,0.04,0.04,0.19,0.04,0.31
9,0.00,0.05,0.18,0.00,0.38
10,0.00,0.07,0.23,0.00,0.20
11,0.00,0.09,0.18,0.00,0.18
12,0.00,0.12,0.12,0.00,0.12
13,0.00,0.19,0.19,0.00,0.00
14,0.00,0.31,0.00,0.00,0.00
15,0.00,0.00,0.00,0.00,0.00
16,0.00,0.00,0.00,0.00,0.00
17,0.00,0.00,0.00,0.00,0.00
18,0.00,0.00,0.00,0.00,0.00
