Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.76,0.76,0.76,0.76,1.00
2,0.70,0.70,0.70,0.67,1.00
3,0.67,0.59,0.59,0.57,1.00
4,0.57,0.47,0.50,0.49,1.01
5,0.53,0.39,0.39,0.39,1.02
6,0.48,0.35,0.35,0.35,0.98
7,0.37,0.29,0.29,0.31,0.97
8,0.31,0.25,0.24,0.26,0.95
9,0.19,0.21,0.22,0.20,0.95
10,0.11,0.15,0.22,0.19,0.96
11,0.09,0.07,0.19,0.19,0.96
12,0.04,0.07,0.17,0.13,0.97
13,0.03,0.07,0.17,0.13,0.91
14,0.01,0.07,0.15,0.07,0.87
15,0.01,0.03,0.08,0.03,0.84
16,0.01,0.03,0.07,0.01,0.83
17,0.01,0.03,0.05,0.01,0.83
18,0.01,0.01,0.05,0.01,0.83
19,0.01,0.01,0.05,0.01,0.82
20,0.01,0.00,0.05,0.00,0.82
21,0.01,0.00,0.05,0.00,0.81
22,0.01,0.00,0.04,0.00,0.82
23,0.01,0.00,0.04,0.00,0.81
24,0.01,0.00,0.04,0.00,0.81
25,0.01,0.00,0.03,0.00,0.81
26,0.00,0.00,0.03,0.00,0.81
27,0.00,0.00,0.03,0.00,0.80
28,0.00,0.00,0.03,0.00,0.71
29,0.00,0.00,0.04,0.00,0.70
30,0.00,0.00,0.04,0.00,0.70
31,0.00,0.00,0.04,0.00,0.68
32,0.00,0.00,0.04,0.00,0.69
33,0.00,0.00,0.03,0.00,0.64
34,0.00,0.00,0.04,0.00,0.63
35,0.00,0.00,0.04,0.00,0.62
36,0.00,0.00,0.04,0.00,0.61
37,0.00,0.00,0.04,0.00,0.61
38,0.00,0.00,0.04,0.00,0.64
39,0.00,0.00,0.03,0.00,0.68
40,0.00,0.00,0.03,0.00,0.67
41,0.00,0.00,0.03,0.00,0.66
42,0.00,0.00,0.03,0.00,0.61
43,0.00,0.00,0.03,0.00,0.65
44,0.01,0.00,0.03,0.00,0.64
45,0.01,0.00,0.03,0.00,0.64
46,0.01,0.00,0.04,0.00,0.69
47,0.00,0.00,0.02,0.00,0.56
48,0.00,0.00,0.02,0.00,0.61
49,0.00,0.00,0.02,0.00,0.60
50,0.00,0.00,0.02,0.00,0.57
51,0.00,0.00,0.02,0.00,0.57
52,0.00,0.00,0.03,0.00,0.56
53,0.00,0.00,0.03,0.00,0.54
54,0.00,0.00,0.03,0.00,0.52
55,0.00,0.00,0.03,0.00,0.59
56,0.00,0.00,0.04,0.00,0.66
57,0.00,0.00,0.04,0.00,0.56
58,0.00,0.00,0.05,0.00,0.64
59,0.00,0.00,0.06,0.00,0.73
60,0.00,0.00,0.07,0.00,0.69
61,0.00,0.00,0.08,0.00,0.47
62,0.00,0.00,0.10,0.00,0.56
63,0.00,0.00,0.12,0.00,0.69
64,0.00,0.00,0.15,0.00,0.65
65,0.00,0.00,0.19,0.00,0.84
66,0.00,0.00,0.25,0.00,0.76
67,0.00,0.00,0.14,0.00,0.14
68,0.00,0.00,0.21,0.00,0.21
69,0.00,0.00,0.00,0.00,0.00
70,0.00,0.00,0.00,0.00,0.00
71,0.00,0.00,0.00,0.00,0.00
72,0.00,0.00,0.00,0.00,0.00
73,0.00,0.00,0.00,0.00,0.00
