Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.62,0.62,0.62,0.62,1.00
2,0.53,0.53,0.53,0.53,1.00
3,0.44,0.46,0.46,0.46,0.93
4,0.38,0.35,0.41,0.35,0.90
5,0.33,0.28,0.31,0.28,0.89
6,0.23,0.24,0.23,0.23,0.89
7,0.17,0.18,0.18,0.18,0.89
8,0.10,0.11,0.12,0.19,0.89
9,0.06,0.11,0.06,0.11,0.86
10,0.03,0.07,0.07,0.11,0.85
11,0.03,0.06,0.06,0.07,0.84
12,0.02,0.06,0.06,0.04,0.83
13,0.02,0.03,0.06,0.04,0.83
14,0.01,0.02,0.06,0.04,0.83
15,0.01,0.01,0.06,0.04,0.86
16,0.01,0.01,0.04,0.04,0.86
17,0.01,0.01,0.02,0.04,0.87
18,0.01,0.00,0.02,0.04,0.87
19,0.01,0.00,0.03,0.03,0.86
20,0.01,0.00,0.03,0.03,0.90
21,0.00,0.00,0.03,0.03,0.90
22,0.01,0.00,0.03,0.03,0.90
23,0.00,0.00,0.03,0.03,0.90
24,0.00,0.00,0.02,0.03,0.89
25,0.00,0.00,0.02,0.02,0.89
26,0.00,0.00,0.03,0.02,0.89
27,0.00,0.00,0.03,0.01,0.84
28,0.00,0.00,0.02,0.02,0.83
29,0.00,0.00,0.02,0.02,0.84
30,0.00,0.00,0.02,0.02,0.85
31,0.00,0.00,0.02,0.02,0.85
32,0.00,0.00,0.02,0.02,0.90
33,0.00,0.00,0.02,0.02,0.90
34,0.00,0.00,0.02,0.02,0.90
35,0.00,0.00,0.02,0.02,0.89
36,0.00,0.00,0.02,0.03,0.83
37,0.00,0.00,0.02,0.03,0.83
38,0.00,0.00,0.02,0.03,0.69
39,0.00,0.00,0.03,0.03,0.76
40,0.00,0.00,0.02,0.04,0.75
41,0.00,0.00,0.02,0.04,0.74
42,0.00,0.00,0.02,0.04,0.74
43,0.00,0.00,0.03,0.05,0.73
44,0.00,0.00,0.03,0.05,0.71
45,0.00,0.00,0.03,0.06,0.70
46,0.00,0.00,0.04,0.07,0.69
47,0.00,0.00,0.04,0.08,0.78
48,0.00,0.00,0.05,0.09,0.79
49,0.00,0.00,0.06,0.10,0.91
50,0.00,0.00,0.07,0.12,0.78
51,0.00,0.00,0.08,0.08,0.75
52,0.00,0.00,0.09,0.09,0.19
53,0.00,0.00,0.11,0.11,0.23
54,0.00,0.00,0.14,0.14,0.29
55,0.00,0.00,0.18,0.18,0.22
56,0.00,0.00,0.10,0.25,0.10
57,0.00,0.00,0.00,0.34,0.14
58,0.00,0.00,0.00,0.52,0.00
59,0.00,0.00,0.00,0.86,0.00
60,0.00,0.00,0.00,1.72,0.00
61,0.00,0.00,0.00,0.00,0.00
62,0.00,0.00,0.00,0.00,0.00
63,0.00,0.00,0.00,0.00,0.00
