Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.59,0.59,0.59,0.59,1.00
2,0.54,0.48,0.50,0.48,1.00
3,0.41,0.39,0.39,0.39,0.99
4,0.40,0.35,0.35,0.35,0.94
5,0.30,0.25,0.26,0.34,0.95
6,0.17,0.22,0.19,0.33,0.95
7,0.13,0.18,0.16,0.30,0.96
8,0.07,0.10,0.16,0.29,0.96
9,0.04,0.06,0.17,0.27,0.95
10,0.04,0.03,0.11,0.26,0.94
11,0.03,0.03,0.11,0.27,0.94
12,0.01,0.01,0.10,0.26,0.94
13,0.01,0.01,0.11,0.25,0.94
14,0.01,0.00,0.11,0.24,0.94
15,0.00,0.00,0.07,0.24,0.95
16,0.00,0.00,0.03,0.25,0.95
17,0.00,0.00,0.02,0.27,0.95
18,0.00,0.00,0.02,0.29,0.95
19,0.00,0.00,0.02,0.31,0.95
20,0.01,0.00,0.02,0.33,0.95
21,0.00,0.00,0.03,0.31,0.96
22,0.00,0.00,0.03,0.34,0.94
23,0.00,0.00,0.02,0.36,0.95
24,0.00,0.00,0.03,0.40,1.04
25,0.00,0.00,0.03,0.43,1.06
26,0.00,0.00,0.03,0.47,1.05
27,0.00,0.00,0.03,0.52,1.07
28,0.00,0.00,0.04,0.50,1.07
29,0.00,0.00,0.04,0.40,1.06
30,0.00,0.00,0.03,0.38,1.07
31,0.00,0.00,0.04,0.42,1.10
32,0.00,0.00,0.04,0.48,1.11
33,0.00,0.00,0.05,0.55,1.12
34,0.00,0.00,0.05,0.63,1.14
35,0.00,0.00,0.06,0.74,1.16
36,0.00,0.00,0.08,0.87,1.18
37,0.00,0.00,0.09,1.04,1.24
38,0.00,0.00,0.11,1.28,1.08
39,0.00,0.00,0.14,1.18,1.08
40,0.00,0.00,0.18,0.85,0.36
41,0.00,0.00,0.24,0.76,0.28
42,0.00,0.00,0.13,0.33,0.13
43,0.00,0.00,0.00,0.20,0.20
44,0.00,0.00,0.00,0.00,0.00
45,0.00,0.00,0.00,0.00,0.00
46,0.00,0.00,0.00,0.00,0.00
47,0.00,0.00,0.00,0.00,0.00
48,0.00,0.00,0.00,0.00,0.00
