Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.94,0.94,0.94,0.93,1.01
2,0.86,0.86,0.86,0.86,0.97
3,0.57,0.57,0.57,0.79,0.87
4,0.31,0.41,0.41,0.71,0.86
5,0.27,0.35,0.37,0.35,0.85
6,0.23,0.24,0.31,0.24,0.84
7,0.13,0.17,0.32,0.17,0.83
8,0.10,0.15,0.14,0.10,0.85
9,0.08,0.07,0.08,0.08,0.87
10,0.08,0.04,0.06,0.08,0.87
11,0.06,0.03,0.05,0.06,0.91
12,0.00,0.00,0.03,0.00,0.90
13,0.00,0.00,0.04,0.00,0.94
14,0.00,0.00,0.05,0.00,0.92
15,0.00,0.00,0.00,0.00,0.95
16,0.00,0.00,0.00,0.00,1.26
17,0.00,0.00,0.00,0.00,1.32
18,0.00,0.00,0.00,0.00,1.43
19,0.00,0.00,0.00,0.00,1.40
20,0.00,0.00,0.00,0.00,1.40
21,0.00,0.00,0.00,0.00,1.68
22,0.00,0.00,0.00,0.00,0.00
23,0.00,0.00,0.00,0.00,0.00
