Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.63,0.63,0.63,0.63,1.00
2,0.51,0.51,0.51,0.54,1.00
3,0.47,0.38,0.38,0.49,1.01
4,0.39,0.31,0.33,0.41,1.01
5,0.32,0.26,0.26,0.26,0.94
6,0.25,0.20,0.20,0.22,0.93
7,0.16,0.16,0.18,0.19,0.91
8,0.11,0.12,0.11,0.19,0.91
9,0.08,0.09,0.11,0.16,0.91
10,0.06,0.09,0.07,0.14,0.92
11,0.02,0.08,0.05,0.12,0.85
12,0.02,0.05,0.04,0.10,0.82
13,0.02,0.04,0.01,0.10,0.78
14,0.02,0.01,0.02,0.09,0.78
15,0.02,0.01,0.01,0.08,0.77
16,0.02,0.01,0.01,0.08,0.77
17,0.02,0.00,0.02,0.08,0.80
18,0.01,0.00,0.02,0.08,0.80
19,0.01,0.00,0.01,0.07,0.79
20,0.01,0.00,0.01,0.03,0.80
21,0.01,0.00,0.00,0.03,0.79
22,0.00,0.00,0.00,0.03,0.78
23,0.00,0.00,0.00,0.03,0.79
24,0.00,0.00,0.00,0.03,0.83
25,0.00,0.01,0.01,0.04,0.87
26,0.00,0.00,0.01,0.04,0.88
27,0.00,0.00,0.01,0.04,0.87
28,0.00,0.00,0.01,0.04,0.88
29,0.00,0.00,0.01,0.04,0.87
30,0.00,0.00,0.01,0.05,0.88
31,0.00,0.00,0.01,0.05,0.86
32,0.00,0.00,0.01,0.05,0.86
33,0.00,0.00,0.01,0.06,0.85
34,0.00,0.00,0.01,0.06,0.85
35,0.00,0.00,0.01,0.06,0.86
36,0.00,0.00,0.00,0.07,0.85
37,0.00,0.01,0.01,0.07,0.84
38,0.00,0.01,0.01,0.08,0.77
39,0.00,0.00,0.01,0.08,0.77
40,0.00,0.00,0.01,0.09,0.78
41,0.00,0.00,0.01,0.10,0.84
42,0.00,0.00,0.01,0.06,0.70
43,0.00,0.00,0.01,0.07,0.76
44,0.00,0.00,0.00,0.07,0.75
45,0.00,0.00,0.00,0.08,0.76
46,0.00,0.00,0.00,0.09,0.75
47,0.00,0.00,0.00,0.09,0.73
48,0.00,0.00,0.00,0.10,0.72
49,0.00,0.00,0.00,0.11,0.70
50,0.00,0.00,0.00,0.12,0.80
51,0.00,0.00,0.00,0.14,0.91
52,0.00,0.00,0.00,0.16,0.78
53,0.00,0.00,0.00,0.19,0.76
54,0.00,0.00,0.00,0.23,0.72
55,0.00,0.00,0.00,0.27,0.18
56,0.00,0.00,0.00,0.33,0.21
57,0.00,0.00,0.00,0.42,0.27
58,0.00,0.00,0.00,0.53,0.34
59,0.00,0.00,0.00,0.00,0.25
60,0.00,0.00,0.00,0.00,0.00
61,0.00,0.00,0.00,0.00,0.00
62,0.00,0.00,0.00,0.00,0.00
63,0.00,0.00,0.00,0.00,0.00
64,0.00,0.00,0.00,0.00,0.00
65,0.00,0.00,0.00,0.00,0.00
66,0.00,0.00,0.00,0.00,0.00
