Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.85,0.85,0.90,0.85,1.00
2,0.68,0.68,0.68,0.68,0.98
3,0.46,0.62,0.46,0.62,0.91
4,0.38,0.32,0.32,0.54,0.94
5,0.21,0.25,0.25,0.41,0.93
6,0.17,0.19,0.18,0.32,0.86
7,0.10,0.10,0.11,0.10,0.85
8,0.07,0.08,0.07,0.08,0.84
9,0.05,0.05,0.05,0.05,0.85
10,0.04,0.05,0.06,0.05,0.86
11,0.02,0.05,0.06,0.05,0.86
12,0.01,0.03,0.05,0.03,0.85
13,0.01,0.00,0.03,0.00,0.86
14,0.01,0.00,0.03,0.00,0.85
15,0.01,0.00,0.03,0.00,0.87
16,0.02,0.00,0.03,0.00,0.76
17,0.02,0.00,0.04,0.00,0.74
18,0.02,0.00,0.02,0.00,0.71
19,0.00,0.00,0.02,0.00,0.83
20,0.00,0.00,0.03,0.00,0.81
21,0.00,0.00,0.03,0.00,0.79
22,0.00,0.00,0.00,0.00,0.97
23,0.00,0.00,0.00,0.00,0.87
24,0.00,0.00,0.00,0.00,0.89
25,0.00,0.00,0.00,0.00,0.67
26,0.00,0.00,0.00,0.00,0.56
27,0.00,0.00,0.00,0.00,0.19
28,0.00,0.00,0.00,0.00,0.32
29,0.00,0.00,0.00,0.00,0.00
30,0.00,0.00,0.00,0.00,0.00
31,0.00,0.00,0.00,0.00,0.00
32,0.00,0.00,0.00,0.00,0.00
