Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
0,1.00,1.00,1.00,1.00,1.00
1,0.60,0.60,0.60,0.60,1.00
2,0.49,0.48,0.48,0.48,0.98
3,0.36,0.37,0.44,0.37,0.93
4,0.24,0.31,0.42,0.31,0.91
5,0.19,0.19,0.36,0.19,0.91
6,0.11,0.20,0.10,0.20,0.89
7,0.07,0.16,0.07,0.16,0.89
8,0.06,0.10,0.07,0.10,0.88
9,0.04,0.05,0.05,0.05,0.87
10,0.03,0.03,0.04,0.04,0.87
11,0.01,0.02,0.03,0.02,0.89
12,0.01,0.02,0.02,0.01,0.89
13,0.01,0.01,0.02,0.01,0.88
14,0.01,0.00,0.01,0.01,0.87
15,0.01,0.00,0.01,0.01,0.87
16,0.01,0.00,0.02,0.01,0.86
17,0.01,0.00,0.02,0.01,0.87
18,0.01,0.00,0.02,0.00,0.85
19,0.01,0.00,0.00,0.00,0.85
20,0.01,0.00,0.00,0.00,0.93
21,0.01,0.00,0.00,0.00,0.92
22,0.01,0.00,0.00,0.00,0.92
23,0.00,0.00,0.00,0.00,0.92
24,0.00,0.00,0.00,0.00,0.92
25,0.00,0.00,0.00,0.00,0.79
26,0.00,0.00,0.00,0.00,0.91
27,0.00,0.00,0.00,0.00,0.91
28,0.00,0.00,0.00,0.00,0.91
29,0.00,0.00,0.00,0.00,0.91
30,0.00,0.00,0.00,0.00,0.92
31,0.00,0.00,0.00,0.00,0.93
32,0.00,0.00,0.00,0.00,0.72
33,0.00,0.00,0.00,0.00,0.71
34,0.00,0.00,0.00,0.00,0.62
35,0.00,0.00,0.00,0.00,0.13
36,0.00,0.00,0.00,0.00,0.19
37,0.00,0.00,0.00,0.00,0.32
38,0.00,0.00,0.00,0.00,0.00
39,0.00,0.00,0.00,0.00,0.00
40,0.00,0.00,0.00,0.00,0.00
41,0.00,0.00,0.00,0.00,0.00
